p,r,w,v,T
20,0,14,3,179
18,1,13,1,113
10,1,10,1,178
16,4,9,3,154
20,2,14,2,124
10,1,12,2,152
13,5,12,1,130
7,6,10,2,198
21,1,10,2,140
16,10,10,1,130
5,5,9,1,138
22,4,14,4,112
19,6,13,2,181
15,25,13,2,147
10,26,10,2,189
16,19,10,1,186
11,8,9,2,191
16,6,11,1,186
15,5,9,1,115
15,15,10,3,129
28,16,12,1,146
13,26,11,1,104
15,8,11,1,116
18,6,9,1,147
25,9,13,2,121
9,16,14,1,160
11,13,9,2,120
18,10,10,2,131
17,22,11,1,118
14,55,11,1,125
16,38,11,2,175
22,16,10,1,113
24,8,9,1,103
16,4,9,1,141
12,21,13,3,116
16,66,11,1,175
13,40,14,1,160
20,9,10,1,150
19,72,14,1,103
16,37,13,3,134
15,10,13,1,109
17,39,13,2,120
20,16,14,2,165
12,27,11,1,165
16,17,10,3,127
15,6,10,5,154
24,29,13,2,103
17,89,10,1,158
17,60,10,3,173
14,6,11,1,191
13,47,12,2,131
14,19,12,1,140
16,49,11,1,199
16,27,12,1,201
6,14,12,3,103
13,52,12,1,200
14,28,13,2,196
24,36,11,1,141
11,110,12,2,182
12,65,12,2,141
9,47,11,2,132
17,23,14,1,105
13,16,12,3,151
13,69,13,1,106
17,32,12,1,100
19,123,13,1,106
17,73,12,2,148
17,127,11,1,140
15,75,14,2,156
21,65,13,1,178
18,9,13,2,181
15,36,9,1,129
17,57,14,2,188
15,18,11,2,151
11,70,12,1,184
16,38,10,1,133
16,19,14,1,113
17,97,12,3,166
14,98,9,2,152
16,40,13,2,182
14,101,14,3,180
28,153,14,1,108
18,77,11,1,116
15,42,14,4,184
16,42,10,1,173
15,80,9,1,149
16,22,13,2,104
16,44,13,2,112
19,55,12,1,197
9,56,14,2,129
19,34,11,2,160
25,34,13,1,128
6,72,13,2,129
17,59,11,2,124
14,118,14,2,134
14,12,12,2,175
16,106,12,4,131
15,183,10,1,152
13,62,11,3,108
16,25,13,1,190
13,126,14,1,174
18,64,13,2,196
16,128,13,1,122
13,113,11,4,181
17,26,9,2,196
15,26,13,4,121
17,83,13,1,173
18,27,12,4,112
8,119,14,3,191
13,69,9,1,129
17,138,9,1,173
24,70,14,1,186
17,141,12,2,108
38,71,13,1,151
12,215,9,2,103
16,109,10,1,182
8,15,12,3,187
18,147,10,1,121
17,149,12,1,105
25,112,14,2,187
17,60,14,1,116
12,133,12,3,180
19,31,14,1,146
19,15,12,5,183
21,98,14,3,119
14,138,11,1,178
17,139,13,1,130
16,100,11,1,156
9,64,11,1,139
16,49,11,1,163
7,49,12,2,138
13,124,13,3,156
19,145,12,1,141
23,67,14,1,158
11,84,10,1,194
15,85,14,2,148
14,128,10,3,131
15,108,11,2,123
30,69,10,1,197
5,52,11,4,162
16,264,11,3,105
11,35,14,1,121
15,179,9,1,153
13,72,9,2,121
12,73,9,1,140
13,18,13,1,178
17,184,13,1,143
18,93,9,2,124
38,19,11,2,153
7,141,9,2,160
26,142,12,1,194
11,143,11,1,201
21,96,10,2,193
22,120,10,2,153
20,97,11,2,143
16,39,11,2,135
17,147,12,1,193
17,198,9,1,158
21,99,13,1,106
18,100,9,2,117
17,60,14,3,192
16,101,9,6,193
18,127,13,1,140
14,308,10,1,130
16,310,13,1,113
22,208,14,2,101
2,63,12,1,148
22,42,9,1,175
15,317,11,2,110
13,64,14,3,123
9,187,14,3,132
21,22,12,3,152
15,135,11,1,193
16,163,10,2,162
9,22,12,4,128
15,66,13,1,144
16,194,9,3,182
16,167,14,1,183
5,224,12,1,100
10,197,10,4,160
29,170,13,3,134
20,23,10,1,177
23,115,12,2,153
23,346,10,2,127
18,145,13,1,144
16,146,14,1,119
31,94,13,1,158
19,47,14,4,185
15,177,11,3,159
16,178,10,1,171
20,239,12,1,139
4,24,12,3,103
14,242,11,3,201
27,213,10,3,152
17,214,13,1,170
15,74,10,1,135
14,74,12,1,130
19,50,14,1,158
21,249,11,1,185
16,376,12,1,137
19,76,12,2,149
15,101,13,1,108
10,127,13,1,170
24,26,12,2,184
14,385,13,2,153
11,194,9,2,174
16,227,12,1,170
15,228,11,1,155
22,164,10,1,165
7,197,10,2,167
35,106,11,2,118
15,133,14,1,143
16,133,14,1,145
12,168,9,2,110
16,269,10,1,116
21,135,13,2,111
12,136,11,1,154
13,109,10,3,153
9,274,11,2,102
16,28,11,1,169
12,55,14,2,109
16,83,10,1,142
4,140,13,1,174
17,175,13,1,169
5,176,10,2,113
15,113,11,1,122
20,142,12,2,153
8,29,13,1,180
12,430,9,2,104
16,432,14,2,159
16,181,14,1,150
23,58,11,3,116
16,256,9,1,102
19,220,11,2,144
9,442,14,2,122
16,259,10,1,146
12,297,9,1,176
16,186,11,1,194
16,262,11,1,161
18,150,13,1,159
9,227,14,1,151
21,152,9,2,168
