p,r,w,v,T
18,0,13,3,106
18,1,21,1,107
27,1,7,1,187
23,3,23,3,152
22,2,20,1,153
21,1,24,1,148
18,12,13,1,147
18,5,18,3,201
8,1,7,1,190
16,2,10,1,105
14,11,10,3,170
9,1,18,3,163
16,14,22,1,149
20,15,11,2,107
17,16,20,1,145
18,29,19,3,191
15,2,15,1,134
14,11,9,2,175
13,2,9,1,119
4,12,18,2,133
27,5,25,1,136
13,11,20,2,185
29,21,15,1,152
7,12,21,4,158
6,27,14,4,145
15,10,8,2,116
18,17,11,3,196
12,31,24,2,144
17,55,11,3,166
26,57,19,2,194
10,20,22,1,112
14,61,19,1,110
11,21,25,1,126
8,4,10,2,140
12,22,16,1,111
8,9,24,1,137
21,14,15,3,188
27,72,17,1,149
14,15,7,1,201
14,25,19,1,141
22,46,23,1,112
14,33,7,3,133
20,22,23,1,185
24,49,21,1,116
18,57,17,3,149
16,88,18,3,184
12,18,25,2,180
15,6,15,1,158
12,39,9,1,185
24,26,8,1,137
17,57,14,2,173
28,50,8,1,158
14,14,14,1,200
27,34,22,2,158
22,105,7,2,116
19,7,12,2,135
18,73,7,2,187
20,37,7,2,169
21,38,21,1,121
16,8,17,1,134
19,59,10,3,192
15,24,14,1,190
19,8,16,1,137
11,123,10,2,179
16,62,12,1,175
24,42,13,1,161
7,43,23,1,106
12,76,18,1,180
17,89,17,3,198
15,135,7,1,194
23,68,14,1,116
16,46,20,1,155
18,94,9,1,158
15,95,25,1,140
14,19,12,2,176
24,10,14,3,134
22,40,25,1,144
4,20,13,2,117
10,76,17,1,154
25,51,10,2,111
9,156,17,2,143
18,92,7,1,116
6,11,24,2,194
30,81,7,1,102
12,82,17,1,111
27,83,16,1,192
20,34,21,1,108
5,34,13,1,134
12,46,24,1,187
16,12,21,1,173
6,103,23,3,120
18,24,10,3,138
23,75,25,4,141
11,61,10,2,189
9,92,7,1,161
18,108,16,1,100
10,37,7,3,106
28,51,7,2,108
19,51,24,2,172
19,81,24,1,132
17,81,16,1,105
16,26,18,1,119
13,83,23,2,148
20,101,16,1,167
18,203,12,2,103
19,205,16,2,140
23,138,25,3,168
15,87,10,4,185
16,56,11,1,173
12,28,7,3,183
16,14,23,2,171
22,144,21,1,105
17,15,13,5,169
17,29,16,1,113
14,223,16,1,149
16,30,7,1,116
14,30,18,1,184
17,228,25,2,107
15,31,11,2,197
16,232,7,4,144
8,137,9,1,128
21,158,8,1,149
16,79,8,3,112
17,120,10,2,143
30,242,11,2,175
18,102,25,4,182
14,164,15,1,156
16,33,17,2,143
13,50,8,1,183
27,67,16,2,143
14,68,15,2,123
18,51,9,2,157
19,69,8,1,123
16,151,23,1,193
15,109,7,1,122
19,88,17,3,192
13,177,8,1,200
23,268,25,2,172
16,157,7,2,111
18,113,22,1,107
23,182,7,1,178
