p,r,w,v,T
14,0,17,1,139
13,0,25,1,171
13,2,19,1,112
10,1,22,1,156
22,2,16,1,105
19,1,13,2,130
13,8,18,1,138
33,7,13,3,124
6,8,19,1,182
15,18,24,3,170
18,19,14,2,190
18,6,23,2,122
18,5,16,1,140
15,15,22,1,155
14,9,21,5,159
18,6,19,2,167
10,2,24,2,107
5,14,24,1,105
19,20,17,1,182
16,18,19,3,114
16,39,21,1,200
21,14,23,1,121
18,21,24,4,194
4,3,20,2,159
14,9,23,1,158
19,20,25,1,107
16,51,19,2,106
14,22,17,1,144
15,15,17,1,101
10,24,14,2,179
24,8,17,1,149
17,8,17,3,120
1,8,22,3,125
16,64,14,2,112
7,66,16,1,124
7,40,18,2,160
16,70,15,1,109
24,30,19,1,180
16,5,18,1,193
17,76,23,1,154
21,45,25,2,104
9,33,17,3,191
16,34,18,3,178
9,11,25,2,116
16,6,22,2,156
21,88,18,2,132
9,60,25,1,122
20,53,17,3,173
7,19,20,3,111
28,32,15,2,133
15,57,19,2,161
11,99,19,2,105
15,27,19,1,156
14,34,23,2,111
5,44,13,1,158
14,71,25,2,118
20,64,17,1,110
12,15,19,2,178
15,47,23,2,101
16,115,15,1,166
15,23,15,4,184
39,59,17,1,106
13,16,19,1,150
21,16,24,3,141
16,25,15,1,197
18,8,15,1,200
13,128,23,1,107
13,9,16,1,178
17,26,16,1,139
25,89,23,1,183
17,45,16,1,135
10,69,15,1,162
18,82,17,1,152
18,28,13,2,137
15,96,22,3,188
18,85,19,3,128
16,86,22,1,118
18,150,14,2,201
12,63,24,4,165
17,77,25,1,106
15,65,18,1,185
14,11,24,2,113
10,11,20,2,181
10,108,19,1,139
16,22,23,2,159
22,165,16,3,166
16,98,15,1,144
24,113,25,3,196
16,46,21,1,172
16,58,23,1,181
26,23,18,1,128
14,118,18,3,165
18,119,22,2,145
16,121,22,2,164
16,49,16,3,199
7,49,24,2,157
10,109,25,1,197
13,50,22,1,193
14,95,22,2,196
19,96,24,3,174
20,113,17,3,131
13,65,19,2,148
15,116,16,3,130
25,13,20,1,118
11,13,19,1,192
22,119,14,1,166
20,120,19,1,190
14,208,25,3,119
17,105,22,1,161
15,124,17,1,108
16,29,23,1,159
20,43,15,1,185
31,127,14,2,126
14,110,17,3,136
18,30,22,2,122
17,15,15,2,154
13,75,18,1,175
19,95,13,1,114
13,230,23,3,102
23,77,25,2,102
19,136,20,1,110
20,118,13,2,106
17,63,25,1,162
16,16,22,2,159
25,121,13,4,164
16,81,13,2,189
15,49,15,2,136
19,124,17,1,122
17,249,20,1,114
18,146,25,1,157
12,84,25,1,188
16,68,17,3,113
28,171,16,1,179
21,52,17,1,114
18,174,16,1,154
16,109,19,3,130
18,35,24,2,152
26,71,22,1,145
15,54,22,2,119
14,113,18,1,178
15,54,14,2,177
16,114,13,2,133
17,138,19,2,169
15,93,21,2,150
20,117,19,1,157
23,282,13,1,131
28,95,24,1,113
15,76,18,1,108
20,96,16,1,168
25,290,17,1,193
17,194,23,1,195
15,294,25,2,154
17,148,24,1,172
23,99,21,1,164
17,300,14,1,163
16,60,13,1,143
13,40,23,1,116
11,102,17,2,103
15,307,13,1,102
15,180,17,4,102
16,311,23,2,143
8,104,17,1,179
15,210,20,2,137
13,132,19,1,166
17,64,17,3,108
18,21,25,2,110
17,22,14,1,150
16,325,15,3,106
14,136,14,1,194
16,164,13,2,103
14,66,16,1,114
18,111,23,1,132
