p,r,w,v,T
16,0,12,2,201
16,1,12,1,137
15,2,6,1,134
15,3,6,2,165
13,3,3,1,109
19,5,2,3,131
15,8,10,1,168
17,4,8,1,187
15,2,11,2,133
18,10,6,1,125
28,13,12,2,136
18,7,10,1,151
16,24,11,4,103
15,17,9,2,168
11,4,10,1,162
27,8,8,4,128
19,13,11,2,111
20,17,3,1,183
16,2,2,1,186
12,16,4,1,185
16,13,3,3,130
21,21,10,3,152
18,25,4,2,175
15,9,5,3,152
16,3,2,3,176
16,10,12,1,133
23,26,4,1,127
17,22,11,1,191
13,23,11,2,118
17,19,6,1,121
34,20,4,1,149
15,8,2,1,106
19,13,9,1,164
14,4,6,1,145
16,4,9,3,147
18,9,5,1,197
21,30,12,1,173
17,24,6,4,146
24,50,9,2,136
16,20,5,2,122
16,79,10,3,148
35,5,7,1,195
17,55,2,1,178
23,49,4,2,160
16,6,3,1,183
14,30,6,2,100
24,53,2,1,119
20,19,12,1,117
16,63,5,2,170
23,13,8,1,119
17,57,4,1,185
13,33,8,1,164
14,51,11,1,137
15,52,10,1,191
16,7,8,1,129
12,72,10,1,171
33,37,12,1,179
19,37,4,1,169
12,30,3,1,122
16,48,11,3,141
15,8,3,1,137
14,16,11,2,193
22,8,11,1,132
22,8,8,3,137
17,34,2,1,176
28,9,8,3,124
18,130,3,1,150
17,55,11,1,100
15,67,9,4,198
19,36,11,1,142
14,57,9,6,149
18,37,6,1,102
15,142,2,4,161
13,96,4,1,107
24,29,11,2,134
18,74,6,1,195
30,62,6,2,100
11,89,7,1,145
18,90,11,2,179
11,10,4,2,180
10,79,11,1,147
16,21,9,2,123
17,162,9,1,191
17,109,8,1,107
16,22,12,2,107
22,11,10,3,130
21,169,7,1,121
16,46,9,3,131
9,35,6,3,124
19,47,3,4,188
10,47,7,4,201
25,179,8,1,191
15,36,5,1,166
16,49,11,1,190
10,77,10,1,124
16,62,6,1,157
17,189,8,2,193
12,51,6,1,145
11,113,7,1,148
16,13,10,1,131
15,66,5,1,115
17,66,10,2,170
17,117,4,1,132
16,101,12,2,194
20,205,9,1,103
21,138,6,2,148
15,87,6,1,103
17,70,9,1,188
15,14,11,1,107
16,143,8,1,199
15,217,12,1,146
15,29,5,1,166
18,110,3,2,187
14,45,7,1,186
14,131,12,1,154
16,94,7,1,164
12,95,10,1,134
12,31,4,1,129
4,31,11,1,171
16,137,11,1,119
17,236,8,1,144
15,48,7,4,116
16,32,12,2,131
17,65,9,1,131
15,143,12,3,125
17,16,4,1,113
8,66,9,1,145
10,83,9,4,142
8,252,2,1,188
15,106,6,2,182
15,51,4,1,140
16,151,10,1,105
6,52,3,2,114
14,262,12,1,179
10,18,12,3,162
21,111,8,4,108
16,36,7,2,117
21,72,10,2,138
15,73,3,1,142
19,160,4,3,114
7,276,2,1,155
24,278,6,1,171
14,117,9,1,158
18,164,5,1,177
19,57,8,1,159
13,19,2,1,172
15,120,9,1,143
