p,r,w,v,T
18,0,15,2,163
18,1,7,1,186
13,2,9,3,133
19,1,13,1,128
13,1,9,1,156
16,4,10,3,126
16,2,7,1,168
10,13,14,3,200
21,10,17,1,117
28,2,13,1,111
18,11,4,1,176
17,7,18,4,200
20,8,13,1,109
6,7,9,1,156
14,4,14,2,149
9,6,15,2,113
18,31,8,1,169
17,4,18,1,178
15,35,8,3,195
17,37,16,2,157
15,3,2,1,188
24,11,7,1,164
22,25,11,1,180
17,30,3,1,173
28,27,17,1,150
16,28,9,2,185
16,7,9,2,134
16,52,14,2,148
16,22,8,1,105
14,19,3,1,178
20,34,2,3,201
11,20,10,1,134
14,21,2,1,148
16,13,16,1,189
5,44,6,1,144
20,22,1,2,121
15,14,11,3,199
7,42,2,1,187
22,5,3,2,149
17,75,7,1,127
16,32,13,3,136
12,26,11,1,115
16,11,6,2,174
14,22,6,1,177
17,23,8,2,186
17,43,7,1,198
5,89,12,3,112
22,30,13,2,132
15,18,7,1,100
14,63,10,2,157
19,96,8,1,168
21,7,8,2,136
14,20,8,1,173
12,51,5,1,126
12,69,9,2,124
14,106,16,3,135
15,22,9,3,192
16,29,5,1,188
16,56,10,1,160
16,30,13,6,147
16,67,15,3,137
16,23,16,4,127
13,70,10,2,187
14,32,11,3,148
19,33,14,1,194
15,25,11,5,181
11,85,13,2,133
15,54,3,1,143
16,131,4,1,180
6,133,9,1,101
9,56,10,3,182
22,80,6,3,189
31,81,18,1,135
20,47,3,2,157
7,47,18,3,150
19,60,12,3,147
17,49,11,3,157
16,10,17,1,107
19,20,14,1,116
16,41,17,1,114
6,41,5,4,124
16,52,1,4,156
17,158,8,1,143
20,107,16,2,197
16,22,16,4,139
10,82,4,1,108
20,83,7,2,198
19,56,10,2,106
21,85,18,6,132
16,34,11,2,171
20,35,4,4,118
17,117,6,1,114
14,177,2,3,185
16,179,8,1,103
17,121,6,3,116
16,37,2,3,177
15,49,2,1,164
18,125,12,1,144
15,189,10,1,116
17,38,6,1,183
16,80,15,1,193
15,97,15,1,191
17,65,1,2,134
17,198,15,1,115
17,200,17,1,132
16,101,9,2,132
11,68,9,3,135
18,27,13,1,126
12,28,18,1,191
14,56,6,3,125
24,28,10,1,135
14,57,16,1,168
9,144,14,1,154
17,127,3,1,164
29,110,14,1,168
23,111,12,3,142
19,112,5,1,158
14,75,7,3,128
14,15,2,2,181
17,115,15,3,101
25,15,6,2,151
13,233,15,2,121
19,235,6,2,102
31,79,3,2,182
18,32,10,2,173
17,100,8,3,196
17,243,15,3,201
6,16,1,2,192
20,66,5,2,111
17,50,6,1,137
10,50,7,1,155
10,84,11,2,155
11,34,14,1,103
22,34,12,3,195
25,258,11,1,111
5,17,10,1,118
23,153,1,2,116
12,70,17,1,163
22,155,4,1,161
23,71,5,2,138
17,18,4,3,156
15,136,14,7,122
19,73,17,1,145
17,161,10,2,121
13,162,3,1,104
12,186,13,1,194
4,75,3,3,109
11,142,5,1,195
15,190,3,1,155
16,167,9,1,163
17,168,14,1,179
13,19,14,1,114
17,78,14,2,159
18,39,3,1,143
13,297,10,1,158
33,80,15,1,192
23,150,1,2,144
19,126,2,3,190
15,177,4,2,178
13,204,7,3,114
14,21,12,2,181
18,129,11,1,153
16,104,11,2,177
15,183,7,1,128
15,105,8,1,111
5,85,17,3,190
11,43,16,2,165
13,107,11,2,182
15,22,6,1,194
17,325,1,1,100
14,218,15,1,111
12,137,2,1,149
18,66,10,1,195
10,44,2,2,195
8,67,2,2,127
19,337,5,4,121
24,68,9,2,128
16,91,17,2,137
11,200,18,3,174
11,46,3,1,156
13,23,17,1,141
22,145,15,4,158
19,350,2,1,179
14,70,4,3,136
15,118,3,1,152
24,71,12,2,132
11,48,17,3,188
7,210,2,3,148
14,72,18,2,126
6,24,6,1,196
41,152,5,1,163
11,25,13,1,120
16,49,12,1,160
18,124,17,3,104
11,374,13,1,114
23,125,7,5,105
15,252,8,2,181
15,126,3,1,113
19,51,18,2,140
17,51,10,2,121
20,128,11,1,176
9,226,1,1,192
6,104,17,4,110
17,26,11,1,168
27,262,11,1,151
23,230,3,3,169
16,79,3,1,172
17,199,7,1,134
13,27,6,2,132
19,402,7,4,161
22,108,17,1,111
16,271,14,2,157
9,136,5,1,146
18,27,15,1,151
17,172,15,1,106
18,28,1,1,133
16,208,2,2,107
16,209,4,1,121
5,175,13,1,160
15,176,17,1,188
22,247,10,1,142
12,57,17,4,173
16,178,3,1,118
18,250,16,2,128
16,144,5,4,116
18,29,14,1,130
15,181,14,2,160
9,291,7,2,118
13,256,9,1,103
14,118,11,1,174
19,89,7,3,120
15,259,15,2,121
10,60,14,2,163
13,299,1,1,194
21,263,5,2,192
16,90,13,2,127
17,30,9,4,108
14,266,4,1,160
14,31,6,4,125
18,123,5,3,175
17,193,9,1,131
14,124,10,1,155
3,466,18,2,200
23,234,8,1,170
14,125,7,1,118
3,314,12,1,185
22,158,17,1,196
15,198,8,1,199
9,32,10,2,130
17,160,2,1,105
14,201,5,2,168
15,161,14,1,128
11,323,9,1,103
18,244,13,2,102
16,489,1,1,169
15,131,18,1,158
16,66,9,1,111
19,495,8,1,131
18,99,6,1,151
15,249,13,1,201
16,167,14,2,111
15,293,4,2,166
27,135,5,3,177
16,68,14,1,162
17,339,14,2,175
18,68,8,4,201
7,102,3,1,124
13,171,13,1,201
29,258,18,2,196
16,35,14,2,168
23,303,5,3,109
23,35,7,2,103
14,218,10,1,197
16,219,16,3,183
26,70,9,2,188
16,309,4,1,150
11,310,5,1,191
23,356,6,5,138
9,357,6,1,184
15,72,3,1,107
16,108,10,1,135
18,541,10,2,143
18,362,11,6,168
17,272,5,1,146
19,365,2,1,168
16,110,11,3,110
24,321,16,2,128
16,74,13,2,113
15,277,11,1,123
9,371,3,1,156
3,558,6,1,156
20,75,2,4,190
28,562,11,1,195
18,75,9,2,102
14,283,16,3,155
8,38,10,2,104
2,380,12,1,201
30,76,7,4,129
13,239,4,1,166
20,115,12,1,101
18,289,9,2,130
10,39,3,3,103
21,78,10,2,124
11,243,3,3,113
6,244,6,1,151
15,117,18,1,114
16,295,5,1,187
19,39,9,1,176
14,119,4,2,155
11,347,2,2,135
30,249,2,3,155
21,250,12,2,133
10,160,17,1,142
19,40,14,1,130
15,302,12,2,195
16,404,13,3,153
18,81,17,1,158
16,305,18,2,142
17,163,8,2,116
4,123,10,3,122
10,41,15,3,140
15,41,6,2,126
25,258,13,1,192
15,166,3,2,146
15,260,4,1,145
22,313,11,2,108
21,262,7,1,150
12,168,17,1,185
14,42,7,3,120
14,264,18,1,144
18,635,2,2,176
16,425,9,2,124
14,43,14,1,180
16,128,13,1,125
16,86,5,3,159
14,43,16,1,191
15,323,5,1,184
18,433,13,1,135
9,174,2,2,154
14,653,1,1,165
18,218,3,1,161
32,438,12,3,141
22,274,1,1,145
23,330,11,2,198
15,442,5,1,186
16,332,4,2,109
14,133,18,1,124
15,445,11,1,172
16,335,5,2,126
16,280,13,2,185
