p,r,w,v,T
6,0,19,2,100
14,1,8,2,185
16,1,13,1,194
10,4,16,1,193
14,2,11,1,201
7,9,23,1,124
17,3,15,2,179
15,4,22,1,131
17,15,10,2,146
13,3,15,3,131
7,5,10,2,199
17,9,21,2,177
15,23,12,2,174
12,7,11,1,169
17,15,10,1,154
16,17,17,1,137
11,18,23,1,188
29,21,15,2,158
16,14,22,2,181
14,12,17,1,119
28,25,15,3,125
1,23,12,1,164
15,28,22,3,163
16,18,22,2,180
14,45,13,4,172
18,20,13,1,113
23,13,17,3,113
16,26,9,1,144
6,18,23,1,142
8,55,22,1,145
16,24,11,1,108
8,59,14,1,109
22,12,13,2,107
15,26,23,1,150
19,13,11,2,105
17,13,22,1,100
16,9,12,3,172
20,19,9,1,165
17,24,19,1,191
16,49,12,1,108
7,20,8,2,162
11,10,14,1,158
16,40,18,1,120
8,34,8,1,175
17,48,15,1,140
18,57,10,2,161
16,36,11,1,114
17,37,8,2,100
8,6,11,2,184
17,54,23,1,166
16,55,21,2,135
17,6,9,1,189
15,33,13,1,199
6,27,12,1,114
24,20,22,1,162
16,21,19,2,117
1,14,21,1,113
15,45,20,1,195
18,64,10,1,145
34,7,19,2,145
18,76,20,1,176
17,77,25,1,166
14,23,21,1,122
28,119,20,1,124
16,40,15,2,142
10,33,13,2,160
8,62,24,1,184
15,42,10,2,106
14,64,20,1,120
16,54,19,1,122
6,66,11,3,116
15,89,13,3,153
15,45,18,3,196
18,69,14,1,160
17,19,17,1,109
16,38,19,1,183
11,72,25,3,185
13,19,24,2,154
15,20,23,2,129
17,10,23,2,192
12,50,15,1,177
23,20,24,1,130
17,90,25,4,138
8,42,8,2,126
8,66,20,1,182
16,67,15,1,119
16,68,15,1,115
12,82,25,1,159
15,111,19,2,162
5,34,25,1,126
19,170,23,2,129
15,34,16,1,184
17,46,12,1,137
11,88,25,2,137
21,118,15,1,102
16,120,18,1,182
15,76,21,3,123
23,24,19,2,100
16,108,16,3,140
18,12,12,1,119
20,25,19,2,129
15,25,13,1,117
29,13,9,1,183
16,65,25,1,141
12,65,17,1,117
4,40,19,1,175
16,83,11,1,170
13,67,8,1,190
12,68,23,2,126
22,27,14,2,105
12,104,22,1,137
16,122,13,2,192
26,88,24,1,193
16,107,22,3,183
27,215,17,1,124
18,109,19,2,191
23,128,24,1,138
20,15,22,2,161
16,93,24,1,175
7,225,25,2,143
23,132,10,1,174
6,76,13,2,136
18,46,14,2,106
11,116,11,3,180
6,156,18,1,130
16,31,21,4,163
17,238,25,1,115
20,240,24,3,100
19,16,24,1,109
16,102,15,4,136
17,123,13,1,137
18,49,8,2,104
10,17,20,2,138
20,33,10,1,131
16,127,23,1,170
23,170,13,1,148
17,17,15,1,177
16,17,18,1,192
12,52,18,1,201
16,175,12,2,103
16,71,9,1,174
15,18,12,1,196
16,72,19,1,183
18,270,18,3,190
20,54,11,1,105
18,55,24,1,179
17,55,13,1,154
10,162,19,3,177
16,116,24,1,146
15,281,16,2,200
20,38,22,2,137
14,190,17,1,157
18,287,23,2,200
23,193,22,4,180
23,97,23,2,164
15,78,9,1,120
21,295,20,1,161
21,297,21,1,160
5,149,21,4,132
17,175,15,1,190
20,126,11,1,157
4,177,17,2,108
5,41,10,1,196
17,62,9,1,166
25,21,19,1,148
19,130,13,3,170
9,42,9,1,201
15,21,11,1,186
20,63,20,1,185
12,21,12,1,169
17,21,21,1,165
18,215,15,3,186
15,325,15,1,170
19,327,9,1,147
12,164,24,2,164
27,22,11,1,201
16,166,10,2,176
22,223,12,1,182
12,196,17,1,191
16,23,16,2,192
16,198,15,1,170
11,199,9,3,152
1,23,8,2,189
14,230,24,2,164
22,348,25,1,108
23,93,12,2,181
17,70,13,1,104
19,147,18,2,199
12,47,13,4,137
15,149,8,5,188
18,96,20,1,129
15,120,24,1,186
13,48,23,2,112
17,49,11,4,136
16,214,17,1,106
25,368,15,1,128
13,185,13,1,112
15,50,17,1,121
13,125,11,2,186
18,75,11,2,165
14,189,13,1,129
17,253,25,2,159
16,51,14,3,181
25,51,21,1,164
13,77,23,2,198
4,129,9,1,193
14,78,24,3,123
14,78,22,1,127
11,196,24,1,177
26,105,11,1,161
16,165,20,3,114
16,233,14,3,125
33,107,9,1,186
16,107,14,1,181
12,54,21,3,111
21,237,23,2,117
17,408,16,1,145
16,273,15,1,167
6,27,9,3,173
17,241,18,1,116
16,28,21,3,186
13,244,8,2,157
13,28,20,3,129
14,176,14,1,189
21,85,14,1,189
10,248,19,1,182
25,114,23,1,101
14,179,19,3,111
15,29,13,2,131
13,115,25,1,140
18,434,16,2,194
9,58,22,2,159
14,117,22,1,101
20,117,8,1,131
17,442,25,1,145
13,259,22,1,122
15,297,20,1,187
8,119,12,1,122
13,262,22,2,136
37,226,19,2,145
14,189,10,2,113
20,266,20,1,178
14,122,15,2,199
21,153,11,1,150
3,307,17,3,193
15,31,14,1,133
21,31,16,1,192
17,62,15,3,105
16,234,19,1,123
18,31,24,1,188
15,315,22,2,195
16,95,19,3,125
14,32,14,1,193
24,319,22,1,133
17,200,11,2,159
19,32,11,2,122
15,32,9,2,110
16,485,13,1,122
16,487,25,1,147
27,130,8,2,201
6,65,9,2,163
15,164,10,1,155
17,66,21,2,140
18,66,21,2,143
17,100,23,2,168
