p,r,w,v,T
19,0,17,3,159
9,1,17,2,174
14,2,17,3,131
17,4,19,4,120
9,8,19,1,154
17,10,20,1,195
30,8,21,2,137
17,9,18,2,193
12,4,18,2,112
16,9,18,1,124
15,5,21,1,173
9,3,20,1,178
26,14,20,1,138
18,5,18,3,144
15,16,19,3,170
16,20,20,1,173
17,2,21,3,170
19,14,18,1,144
14,23,21,2,175
17,22,19,1,150
24,13,21,1,195
19,14,17,2,156
15,29,17,1,153
16,3,21,3,145
20,20,18,2,165
12,24,18,1,134
14,10,20,1,172
21,35,19,1,122
16,23,21,2,123
17,8,18,1,124
16,16,17,3,157
16,61,21,1,113
8,42,19,1,181
12,27,19,2,162
17,9,18,2,139
19,40,19,2,194
15,35,17,1,127
19,24,21,1,153
21,50,19,1,173
17,38,17,2,136
8,10,17,3,140
23,21,21,1,100
7,22,17,1,120
16,6,17,2,105
6,86,18,5,180
10,29,20,3,126
11,60,19,1,196
10,18,17,2,189
12,31,20,2,201
17,13,21,1,193
17,20,19,1,165
14,50,18,1,107
16,14,19,2,167
21,69,18,1,135
17,7,19,1,152
24,14,21,2,198
19,110,19,1,138
10,15,19,1,167
11,47,20,1,159
18,67,18,1,197
17,68,20,1,170
9,50,21,1,164
16,51,19,1,180
13,51,21,1,155
19,125,21,1,102
19,85,17,1,118
15,129,18,2,152
26,17,17,3,178
18,55,21,1,141
24,18,20,3,127
24,91,17,2,164
15,81,21,2,176
13,94,20,1,109
16,71,17,4,176
18,48,18,2,121
20,98,21,1,144
17,50,20,1,167
19,151,21,1,132
18,10,18,1,147
22,64,18,2,186
17,91,19,1,115
7,21,21,2,197
18,94,19,2,117
18,22,19,2,193
17,33,20,1,107
14,69,19,4,155
21,56,17,4,180
11,114,20,1,139
13,11,20,2,126
25,87,18,2,170
17,103,20,2,142
12,12,21,1,173
16,75,19,2,168
22,36,20,1,150
16,107,19,4,199
14,12,19,2,158
15,188,17,1,107
13,190,20,1,167
11,51,21,2,195
20,194,17,2,181
19,65,19,1,128
14,26,21,1,127
7,83,17,1,123
16,118,21,2,129
25,102,21,4,167
15,27,20,2,159
12,104,20,1,101
9,122,21,1,110
12,123,20,1,148
12,57,21,2,130
15,144,17,1,149
13,14,19,1,137
15,15,21,1,107
7,147,19,1,127
19,149,19,2,131
19,60,21,1,153
8,114,20,2,168
21,61,18,1,167
12,154,20,3,132
16,47,17,1,113
18,78,20,2,153
26,63,17,6,154
16,139,21,2,148
6,80,21,4,136
9,162,20,1,154
19,122,20,1,130
19,144,18,3,121
10,166,20,1,151
26,67,20,1,181
20,34,19,3,188
17,127,20,3,199
14,85,20,1,184
13,34,20,3,106
22,130,17,1,125
26,17,21,3,161
11,264,17,1,149
11,35,19,2,131
18,156,20,1,150
3,135,17,1,146
16,113,20,3,193
19,37,20,1,104
16,184,17,2,169
18,139,19,2,187
25,117,18,1,185
14,117,17,1,154
12,142,19,1,130
14,143,20,1,168
20,192,18,1,125
15,145,18,1,150
19,19,21,1,122
18,78,18,2,136
14,99,18,2,100
15,174,17,2,137
20,40,18,3,188
20,126,18,1,105
14,61,19,2,187
10,81,19,1,165
16,179,20,2,196
16,129,18,1,132
17,83,17,1,105
15,183,19,1,119
4,42,19,3,185
16,211,19,1,113
6,43,17,1,180
13,107,20,2,183
24,188,18,2,118
15,87,21,2,199
16,22,17,1,194
20,329,17,2,159
9,110,17,1,130
10,89,19,1,159
6,67,21,1,117
16,140,18,1,133
16,169,18,1,163
13,341,21,1,110
9,171,18,1,168
18,69,21,1,120
15,346,18,2,114
25,70,20,2,100
4,175,19,1,156
21,47,21,1,145
16,236,20,2,177
34,71,19,1,153
15,24,19,2,151
23,180,17,1,179
9,121,21,2,186
18,24,20,1,163
14,366,20,1,149
18,123,18,4,165
17,74,20,1,194
16,186,19,1,111
15,187,21,2,178
21,188,21,4,149
29,126,17,2,150
25,101,19,2,166
18,51,21,1,200
17,256,17,3,190
16,386,19,1,120
13,52,20,2,164
22,227,17,1,149
12,78,21,1,177
13,262,17,1,199
18,132,19,1,181
15,265,20,1,198
17,80,21,1,192
16,27,18,1,170
13,168,20,2,147
10,81,17,1,109
10,136,19,2,146
16,109,21,2,160
31,205,21,2,164
9,110,21,1,150
23,28,21,2,193
16,417,20,3,140
23,84,21,2,126
16,84,21,3,132
20,211,20,2,158
23,177,17,3,187
40,249,17,2,141
18,29,18,2,147
8,29,20,1,122
18,180,20,3,178
14,87,17,3,184
17,87,18,1,105
14,88,19,1,120
12,440,19,2,142
18,442,20,2,160
15,89,17,1,138
22,149,19,1,131
17,448,17,1,176
17,263,20,2,182
17,30,21,2,153
13,189,21,2,190
17,122,21,1,118
19,61,18,2,103
17,460,18,2,162
16,154,21,3,128
15,232,18,1,104
22,124,17,1,192
13,31,18,1,192
10,470,21,1,159
16,275,19,3,153
8,316,19,2,153
18,277,17,1,191
19,478,21,2,178
10,479,17,2,174
29,128,21,1,190
11,483,20,2,185
19,283,20,1,148
18,97,18,1,118
18,130,21,1,108
17,491,21,3,130
15,329,19,3,182
18,248,18,1,123
30,133,21,2,172
12,499,17,1,180
18,33,17,1,193
17,101,19,1,167
5,210,17,3,200
20,169,20,1,160
21,136,17,2,154
16,511,17,2,189
17,68,17,3,102
15,34,17,1,141
7,103,19,1,181
27,216,18,1,108
15,260,17,1,135
14,523,20,1,145
20,306,18,3,194
8,140,19,2,186
11,264,21,1,176
17,106,20,4,132
7,106,19,2,162
22,312,21,1,158
17,179,17,1,114
16,72,17,1,194
18,72,19,3,175
15,145,20,2,192
15,227,19,2,155
20,146,21,1,151
23,110,20,1,126
19,37,19,3,116
17,147,17,1,200
15,74,19,1,164
22,556,21,1,187
17,112,20,1,157
23,112,20,1,170
13,234,20,2,139
7,38,17,1,167
35,283,21,2,152
19,76,21,2,100
16,114,17,2,151
14,190,17,1,135
13,76,19,2,115
29,115,19,1,187
10,154,21,1,176
19,386,17,1,153
15,339,20,1,156
15,389,20,2,160
16,39,17,1,116
16,342,17,1,103
15,157,19,2,127
21,345,21,1,127
16,40,20,1,138
18,159,21,1,139
8,398,21,1,179
22,399,19,2,184
9,200,18,2,112
16,121,19,4,109
17,202,18,3,164
17,253,17,1,105
19,304,19,3,155
35,407,17,1,185
21,82,18,3,157
16,256,19,2,120
17,257,19,3,159
19,165,18,1,146
21,124,19,2,139
9,363,20,2,152
17,42,20,1,187
19,167,20,1,122
14,262,20,1,168
11,263,19,2,180
4,421,20,1,121
17,264,18,1,110
9,85,20,2,168
18,85,19,1,116
15,85,18,1,129
16,86,18,2,191
16,215,19,4,144
19,129,20,3,145
20,378,17,2,137
17,433,19,2,102
13,326,18,2,112
24,131,19,1,149
16,44,21,1,170
12,219,21,4,136
17,176,20,1,155
14,44,21,2,164
18,177,19,1,126
13,44,20,3,151
17,222,20,3,177
16,279,18,2,164
10,224,19,3,104
22,449,20,2,185
25,281,21,2,188
16,226,21,1,183
16,226,21,1,132
15,227,21,1,195
4,46,17,2,135
23,685,19,1,165
12,687,21,2,186
12,230,21,3,147
17,92,18,1,177
9,289,21,3,120
