p,r,w,v,T
12,0,24,1,175
16,1,25,1,178
5,1,25,1,143
15,4,25,3,197
21,2,25,1,165
17,3,24,4,189
28,11,25,1,180
15,8,24,3,102
15,8,25,2,134
17,7,24,2,143
17,6,24,2,112
16,12,24,1,177
19,11,24,2,177
18,8,25,2,101
16,5,24,1,126
19,17,25,2,123
10,4,25,5,161
10,9,24,5,195
21,11,25,2,191
10,36,24,1,104
16,25,24,1,159
16,20,25,1,188
20,17,25,3,148
23,44,25,2,167
13,3,25,3,197
8,16,24,4,113
13,13,24,1,165
19,51,25,2,148
26,31,25,2,167
16,55,24,3,107
13,28,25,2,105
21,20,24,1,144
15,30,24,1,198
5,26,25,2,145
12,13,25,4,173
12,18,25,1,198
22,18,24,1,199
15,5,25,4,131
17,10,25,2,123
22,15,25,1,149
19,20,25,2,150
15,26,24,1,132
18,40,25,2,189
24,81,25,3,184
12,6,25,1,191
21,17,24,2,195
14,58,24,2,179
15,52,24,2,196
11,45,25,4,153
17,54,25,1,148
15,25,25,1,162
17,97,25,2,151
12,20,25,3,196
4,27,24,1,165
16,20,24,1,115
15,21,25,1,101
12,7,25,2,146
16,22,25,3,146
15,37,24,2,118
15,65,24,3,141
11,114,25,3,155
17,67,24,1,138
16,49,25,1,180
11,24,25,1,135
19,32,25,1,143
18,33,24,2,101
13,17,24,2,182
16,53,24,1,157
8,43,24,4,175
18,44,24,2,173
15,35,24,1,140
9,27,24,3,186
8,57,25,5,180
24,58,24,1,113
19,82,25,3,195
13,47,24,2,107
20,96,25,1,193
19,19,25,2,121
10,148,24,1,105
15,75,25,4,163
11,151,25,1,129
16,10,24,1,153
22,31,24,2,166
14,52,25,1,138
17,21,24,2,134
5,80,24,2,186
18,33,25,3,172
16,69,25,1,190
15,97,25,1,177
20,112,24,1,136
19,99,25,2,180
18,100,25,2,192
16,35,24,2,154
13,12,25,2,155
9,24,24,1,144
16,180,25,1,127
18,121,25,2,186
11,92,24,1,119
19,124,25,1,122
12,94,25,1,115
14,13,25,2,122
18,191,25,1,123
16,193,25,3,191
17,195,24,2,184
18,115,25,4,149
32,83,24,1,127
19,117,25,2,126
13,40,25,1,121
12,85,24,1,129
18,55,25,2,196
20,14,24,4,187
20,14,24,2,183
16,88,24,2,106
17,43,24,1,109
16,72,24,1,164
12,109,25,2,107
15,44,24,1,145
9,30,24,3,105
18,45,24,3,160
18,60,24,1,126
21,45,24,1,154
8,95,24,1,157
24,15,25,2,185
15,16,24,2,106
20,156,24,1,112
16,158,24,1,153
16,79,24,1,183
15,140,25,1,153
15,161,25,1,156
20,142,24,3,132
9,82,24,2,130
19,50,24,1,117
14,167,24,1,173
19,126,24,5,123
16,51,25,1,122
14,255,24,2,171
15,86,24,3,108
21,17,24,3,157
10,174,24,1,102
18,263,24,3,157
18,132,24,3,152
16,36,24,1,135
23,36,24,1,156
9,36,25,2,129
17,36,25,1,121
8,137,24,1,149
16,276,24,1,180
8,19,25,1,114
26,75,25,1,180
4,282,25,2,154
7,118,24,4,129
17,143,24,4,154
26,288,24,4,110
16,58,25,1,153
25,58,24,1,181
16,293,24,2,168
20,172,25,3,142
13,198,25,1,188
15,20,24,2,116
15,100,25,1,152
13,20,25,1,145
5,152,24,1,139
12,20,25,1,136
15,154,25,1,162
16,310,25,1,192
18,83,24,3,181
17,209,24,4,161
33,158,25,1,165
12,42,24,1,114
22,133,25,1,159
19,21,25,2,160
18,22,24,1,105
16,136,24,3,185
15,44,24,3,104
17,44,25,1,173
17,221,25,2,106
15,139,25,2,197
16,140,24,1,159
16,196,25,3,139
18,45,25,1,100
18,23,25,2,148
17,343,25,2,143
15,144,25,1,153
19,92,25,1,105
18,23,24,1,115
12,204,24,3,163
9,176,24,4,173
16,24,24,1,144
9,71,25,2,169
16,179,24,1,164
17,240,24,1,165
20,241,25,1,183
17,121,25,3,115
13,365,25,1,116
15,153,24,3,119
6,215,24,4,178
13,25,25,2,184
9,99,25,3,143
19,75,25,1,102
16,50,24,3,191
14,50,25,2,147
14,158,25,2,195
6,51,25,1,132
15,192,24,1,154
13,386,24,2,100
16,26,25,2,152
25,260,25,2,120
11,228,25,2,188
14,105,24,1,132
10,53,24,2,109
9,79,25,1,128
16,233,24,1,145
24,267,24,2,187
13,54,24,2,103
16,27,24,1,201
5,170,24,4,147
17,109,24,1,201
16,240,25,5,140
22,172,24,2,162
15,207,24,2,157
11,28,25,3,143
15,244,25,1,119
17,280,25,1,175
19,141,25,4,180
25,141,24,1,163
17,85,24,1,104
17,57,24,1,155
18,143,24,1,189
11,180,24,1,149
18,217,24,1,171
3,58,24,4,200
9,29,25,1,193
9,117,25,4,159
12,257,25,1,157
18,443,24,2,152
17,222,25,2,155
14,89,25,1,187
20,90,24,2,116
18,120,24,1,192
17,302,25,1,188
3,61,25,2,149
1,91,24,2,120
16,61,25,2,117
14,307,24,2,136
19,154,24,1,190
16,309,24,4,199
16,155,25,1,104
17,62,25,2,149
22,313,25,2,187
15,126,25,1,139
17,473,24,2,193
18,317,24,2,125
16,278,24,1,122
8,128,24,1,151
16,200,24,1,148
21,32,24,1,183
16,202,24,1,163
5,324,25,2,143
16,163,24,1,191
16,131,25,2,163
18,246,24,1,103
20,288,24,3,189
25,331,25,1,190
14,290,25,1,127
6,133,24,2,130
15,334,24,5,188
15,336,24,1,144
26,168,24,1,196
15,296,24,1,155
16,34,24,2,198
29,298,24,2,193
21,68,24,1,108
14,103,24,2,136
14,34,24,1,114
5,259,24,1,121
14,347,24,1,124
12,70,25,2,102
17,524,25,3,180
19,35,25,1,144
20,528,25,2,126
17,177,25,3,159
25,106,25,1,153
17,222,24,1,188
17,312,24,1,178
20,224,24,1,171
6,180,24,1,140
19,316,24,1,182
16,145,24,1,166
32,73,24,1,151
10,228,24,1,133
17,110,25,1,138
19,110,24,3,115
4,147,24,1,171
15,74,24,2,164
16,325,24,1,178
19,326,24,3,187
16,373,25,1,103
16,281,24,3,194
27,376,25,1,130
16,330,25,1,193
15,38,24,4,142
13,285,25,1,143
19,114,25,3,144
19,191,24,1,165
11,240,25,1,146
16,289,24,1,147
15,241,25,1,145
22,581,25,1,112
16,78,24,1,176
3,390,24,3,103
15,587,25,1,192
16,196,25,1,136
15,157,24,2,143
14,158,24,1,180
13,297,25,1,157
22,397,24,2,100
17,349,25,1,132
19,160,24,2,185
16,201,24,1,191
7,161,24,2,197
16,606,24,2,167
23,202,24,2,195
22,355,24,2,101
17,255,24,3,103
9,82,25,1,171
14,82,25,1,123
15,308,25,1,157
25,165,25,1,105
20,621,24,4,136
17,42,25,2,118
12,624,24,1,122
16,418,25,1,168
19,314,25,2,191
16,630,25,2,195
19,126,25,2,135
26,264,25,1,103
16,42,25,1,162
22,319,24,2,140
12,213,25,3,131
14,128,24,2,197
7,86,25,2,153
7,430,24,2,129
32,647,24,4,147
15,87,25,2,146
23,43,24,1,190
19,87,24,2,200
18,218,25,1,146
20,657,24,1,141
14,176,24,1,170
8,275,25,1,167
18,132,24,1,133
10,177,24,1,121
21,666,24,1,138
25,223,24,2,137
9,279,24,1,174
20,179,24,2,168
16,281,25,3,175
15,676,24,2,155
6,135,25,1,181
27,45,25,1,147
26,454,24,6,128
11,285,25,2,142
14,46,24,1,118
18,229,24,1,100
17,92,25,1,160
18,345,25,1,168
14,404,25,1,148
9,694,25,1,150
6,290,24,2,138
18,233,24,1,198
14,233,24,2,106
4,234,24,1,177
10,411,24,2,181
21,471,24,1,181
13,354,24,1,160
15,355,24,2,183
14,95,25,2,200
4,48,25,2,168
15,477,25,4,195
17,96,25,2,178
16,240,25,2,177
24,96,24,2,132
21,48,24,2,141
12,193,24,2,131
15,363,24,1,177
23,194,25,2,135
15,365,24,2,128
13,195,25,1,124
17,306,25,1,181
20,49,24,3,180
