p,r,w,v,T
13,0,24,3,152
36,0,23,2,192
15,1,25,1,119
25,4,18,1,177
22,2,22,1,137
14,5,20,2,167
19,3,18,1,179
25,2,22,2,129
11,1,23,2,181
18,12,18,1,171
16,4,17,5,118
4,1,20,2,185
22,16,19,1,143
17,25,18,1,139
16,5,18,2,142
15,8,25,2,119
16,18,21,1,197
17,7,21,1,100
16,7,22,1,117
15,25,18,1,145
13,10,17,3,191
17,11,19,3,119
18,3,20,3,191
15,26,19,1,166
15,13,18,1,140
14,10,24,2,197
22,14,21,2,100
17,26,17,1,100
15,32,20,2,153
20,57,24,2,143
17,24,25,1,181
18,35,22,2,141
15,17,22,4,140
16,22,19,3,173
15,22,23,1,196
12,14,17,1,195
18,47,21,2,152
16,14,22,2,185
17,43,20,4,127
24,20,23,1,109
21,46,25,4,181
9,21,25,1,182
15,41,18,2,126
25,11,20,1,139
20,50,24,2,114
23,23,18,3,107
22,6,18,2,129
12,18,19,3,196
13,25,19,1,198
16,56,24,1,116
11,13,19,2,199
16,33,19,2,149
5,51,21,4,158
13,35,25,2,126
8,62,22,2,122
16,14,17,1,112
13,55,22,1,144
15,111,23,2,137
16,47,25,1,201
18,115,24,2,128
11,68,22,1,169
16,50,17,2,190
13,61,25,2,114
17,16,25,3,123
13,83,22,2,144
9,53,18,2,137
13,9,25,2,162
16,35,24,2,143
18,66,22,1,108
28,27,20,1,165
21,91,17,2,166
23,139,20,2,132
13,28,21,2,117
4,10,21,1,157
23,39,20,1,162
27,147,17,1,198
8,30,18,2,123
16,30,25,1,180
8,64,18,1,162
16,10,25,2,156
24,78,21,2,132
17,79,21,2,186
17,43,17,1,148
17,108,25,1,192
6,164,18,1,176
18,69,17,1,137
17,56,24,1,120
18,170,24,2,157
6,23,18,1,140
17,12,19,1,158
13,35,20,2,121
17,104,18,3,104
16,12,23,2,116
21,76,20,1,172
14,12,22,1,141
15,62,18,1,196
14,188,20,1,192
32,63,21,1,186
16,64,17,2,138
21,129,19,1,102
26,65,18,1,187
12,53,18,1,185
14,133,25,3,146
15,101,25,1,139
14,119,24,1,102
18,86,20,4,131
15,138,25,2,175
15,70,25,1,156
19,14,24,1,160
7,43,20,3,134
16,108,22,1,107
5,43,18,3,121
23,73,23,1,161
15,221,24,1,119
19,149,18,3,156
28,112,18,4,122
16,132,22,2,121
17,61,20,1,147
19,77,19,1,103
20,136,21,2,196
16,16,22,3,197
7,16,21,2,146
16,119,25,2,140
10,100,24,3,148
15,141,17,1,189
20,143,19,1,193
24,49,22,1,147
5,166,20,1,180
18,167,23,1,145
24,105,24,2,125
19,85,20,2,159
7,107,24,1,109
17,151,24,1,125
8,87,23,1,124
13,109,21,1,138
16,154,17,2,181
22,177,19,2,153
24,89,18,2,148
24,157,23,3,114
22,272,20,2,201
22,18,24,3,155
17,37,19,1,150
21,278,17,1,106
3,93,20,1,129
2,56,18,1,104
15,19,17,1,184
27,119,22,2,199
22,144,22,1,162
15,39,24,3,114
26,39,21,1,117
17,78,25,3,152
20,20,18,2,127
9,40,23,4,179
12,299,17,1,185
14,80,17,1,117
10,152,22,2,186
21,41,24,1,190
22,102,21,2,157
16,180,17,3,115
26,83,23,1,115
21,42,20,3,173
5,315,20,2,104
20,158,22,1,158
16,106,25,4,117
7,21,19,1,138
19,22,20,3,189
23,43,25,4,192
14,191,18,1,189
13,137,19,1,176
16,22,24,2,196
3,222,23,1,179
19,195,22,2,132
16,90,22,2,142
16,338,18,1,114
17,113,24,1,163
18,342,24,1,155
17,46,22,1,135
18,46,23,1,167
30,116,23,2,113
15,204,17,2,157
12,147,22,1,133
8,47,21,1,130
24,95,24,1,111
15,95,22,1,102
28,48,25,2,118
9,24,25,3,138
17,152,23,4,168
23,98,22,3,104
19,49,19,1,189
1,246,19,1,155
16,25,18,1,175
16,75,19,2,131
19,75,19,1,177
12,126,17,4,196
23,379,23,2,201
20,76,18,2,136
13,383,20,1,160
16,225,23,2,159
16,52,24,2,162
20,389,21,1,128
24,52,20,1,108
17,52,24,1,119
16,395,19,3,160
22,397,25,2,107
14,80,21,1,198
17,401,17,1,174
18,403,23,1,136
10,108,20,1,140
16,169,21,1,168
23,82,18,1,127
7,205,22,4,151
16,110,25,1,188
15,28,22,1,132
16,174,24,1,159
16,84,25,1,152
9,112,24,1,143
9,282,24,2,144
28,85,21,3,177
12,114,22,1,130
10,214,18,1,146
16,57,25,1,135
16,58,25,2,129
2,181,22,2,132
16,218,19,1,180
15,219,23,4,194
17,220,23,2,134
4,118,20,1,188
13,296,17,1,180
8,223,25,1,158
24,448,18,1,139
25,150,21,1,139
17,301,19,1,189
16,60,20,1,142
16,304,18,2,196
19,267,21,2,125
13,268,20,2,147
8,154,19,1,119
14,62,20,1,133
15,233,21,5,146
13,62,22,1,173
18,125,19,1,128
16,236,24,3,173
24,473,18,2,112
15,198,24,2,156
2,127,21,1,122
21,479,23,3,132
23,96,20,2,126
12,322,18,3,140
7,243,17,3,195
20,203,25,3,102
18,326,25,2,176
11,65,23,1,194
21,329,22,1,186
16,132,17,1,130
18,290,21,3,134
16,166,25,2,116
17,134,21,3,146
28,67,18,1,143
18,67,22,3,136
17,211,21,1,150
21,508,22,3,148
7,255,24,3,199
1,213,17,1,114
22,34,23,1,150
17,69,24,1,162
22,518,22,2,108
16,520,18,2,148
16,522,23,1,180
16,105,23,1,185
19,263,23,1,195
13,70,23,2,125
21,106,22,2,158
28,266,23,1,129
17,107,19,2,196
26,179,18,3,199
