p,r,w,v,T
27,0,20,3,142
12,1,17,1,160
18,1,24,1,181
16,2,24,1,137
13,5,23,1,175
11,9,22,1,105
18,6,25,1,165
11,8,23,1,136
17,5,22,1,124
17,11,21,2,191
11,8,24,3,128
14,14,21,1,101
20,11,21,1,176
16,12,24,1,145
23,2,17,3,120
8,2,22,3,182
14,8,24,1,149
13,21,17,2,176
16,11,19,1,144
13,7,21,1,108
16,5,21,3,107
18,23,21,3,143
12,21,21,1,130
15,14,20,1,175
16,12,17,2,106
13,47,23,2,201
20,20,17,1,186
23,51,22,2,135
11,31,22,1,100
8,7,25,1,177
16,11,21,1,131
16,4,18,1,147
15,4,18,3,146
15,17,20,1,129
14,37,20,1,126
15,4,23,1,138
23,45,23,3,124
16,5,24,1,120
18,48,20,2,171
13,10,19,2,102
15,5,24,1,187
15,77,18,1,108
16,21,21,3,194
18,5,19,1,126
18,17,18,3,166
15,56,19,2,114
8,6,19,1,151
9,44,22,2,189
17,18,24,1,138
16,18,25,2,171
20,47,20,1,127
11,40,18,1,180
15,41,18,4,187
16,13,19,2,109
17,102,19,2,179
19,35,21,2,198
12,28,20,2,144
16,72,20,2,199
11,64,18,2,116
14,56,21,4,111
15,8,17,2,139
17,23,25,3,100
20,68,19,1,161
13,79,21,3,149
19,40,17,3,135
17,122,18,1,181
7,72,18,2,165
19,8,25,1,121
20,128,19,1,129
8,9,22,1,105
16,44,24,1,179
25,9,21,1,199
16,68,25,4,144
18,80,18,1,198
16,81,22,1,157
14,19,25,1,196
16,143,17,1,168
11,145,24,3,110
18,73,21,1,189
18,40,20,1,201
16,75,24,2,140
26,102,21,3,148
16,51,19,1,198
16,52,18,1,109
14,53,18,4,146
4,43,20,1,137
18,162,23,1,132
16,96,25,2,133
16,69,21,2,170
20,22,18,5,197
12,113,22,2,161
15,34,17,1,163
10,35,21,2,180
16,23,18,4,153
23,59,20,1,134
21,48,17,1,102
23,90,17,3,185
24,37,21,2,180
23,123,18,3,109
9,37,23,3,117
7,38,20,1,112
22,111,23,2,139
13,96,25,1,147
4,113,25,1,124
14,98,20,1,144
9,53,20,1,169
14,133,22,1,146
11,27,19,1,145
14,136,23,1,153
9,27,21,2,200
15,28,19,3,159
14,70,18,2,182
19,211,18,1,123
16,43,21,3,123
20,143,19,1,141
16,14,23,1,128
11,218,19,1,152
17,59,21,2,139
15,111,21,1,145
17,60,18,1,189
21,30,24,1,119
18,152,17,1,175
15,31,17,1,187
16,62,21,3,112
20,97,25,1,190
14,235,23,2,160
17,32,21,1,137
17,239,23,2,179
15,161,20,1,108
15,81,20,1,163
21,245,23,1,178
20,49,22,1,193
20,33,17,1,133
21,17,17,2,148
15,50,20,2,105
18,34,18,1,142
23,128,23,2,127
20,86,18,1,121
8,173,21,1,114
15,262,20,1,118
14,53,22,3,188
27,71,21,1,177
25,36,21,2,105
18,112,21,1,196
16,90,17,1,129
7,18,17,1,194
16,55,25,2,149
10,138,19,2,185
12,93,24,1,160
18,140,21,1,130
15,118,22,1,162
26,19,24,1,123
16,286,25,3,197
13,144,25,1,201
3,193,21,2,108
15,78,20,1,121
3,147,21,1,135
18,39,23,1,123
12,59,24,1,171
15,100,23,4,126
15,125,17,3,104
17,20,18,1,162
15,102,23,1,102
15,61,23,2,129
10,103,25,1,153
20,129,24,1,163
16,182,20,1,176
11,63,24,2,167
21,316,23,4,183
18,318,24,1,147
21,85,20,1,169
12,215,24,1,154
16,162,20,1,110
17,43,25,1,126
16,136,19,1,162
20,110,19,2,181
14,88,18,2,104
15,333,18,2,168
13,335,21,4,135
15,22,20,2,102
16,198,23,1,113
11,142,22,2,125
18,171,20,1,198
20,92,20,2,150
16,144,17,1,100
21,145,18,3,148
18,175,20,1,120
16,205,22,1,166
16,47,22,2,112
25,237,19,4,129
16,95,25,1,192
16,96,17,2,161
21,24,21,1,176
13,212,21,2,115
17,365,20,3,158
16,49,22,1,159
12,123,25,2,122
15,371,22,1,109
17,217,24,2,117
30,125,22,2,159
16,25,17,1,115
15,126,22,1,137
16,25,21,3,118
12,191,18,1,126
21,192,23,1,155
9,193,25,1,159
12,162,20,1,135
11,227,24,2,164
17,26,19,1,152
13,197,25,1,200
22,264,22,1,145
8,397,18,3,158
6,80,19,3,112
25,401,17,1,105
19,269,17,1,168
8,270,20,1,170
14,108,24,3,173
19,238,18,2,131
29,410,25,1,141
13,110,22,1,196
24,138,25,1,184
15,55,23,1,137
14,174,21,1,145
15,175,17,3,142
