p,r,w,v,T
20,0,12,2,186
15,1,11,1,173
17,2,11,3,162
24,3,11,3,127
15,2,12,1,188
17,5,12,1,173
11,5,11,2,130
15,4,11,2,151
18,15,12,2,138
7,5,12,1,197
29,5,12,2,104
17,6,12,1,182
9,2,11,3,194
13,2,12,3,112
25,5,11,1,190
23,17,11,3,188
15,18,11,2,135
9,9,11,2,135
16,34,11,2,143
13,7,11,2,161
13,38,12,2,201
16,5,12,3,141
15,6,12,1,138
17,44,12,1,152
15,27,11,2,152
10,10,11,3,201
29,3,11,3,143
15,3,12,1,194
16,18,12,2,196
22,28,12,2,161
8,19,12,1,195
19,39,12,2,137
27,12,11,2,187
22,32,12,4,133
7,17,11,2,113
19,45,11,1,125
5,34,11,2,184
20,19,11,2,111
14,48,12,4,110
8,37,11,1,155
15,15,12,2,148
14,21,11,3,195
9,16,11,1,171
16,55,11,2,143
18,22,11,2,176
18,11,11,2,114
15,12,11,2,115
12,90,12,1,190
16,12,12,3,164
28,19,12,2,177
13,48,11,1,154
19,65,11,1,182
21,58,12,2,195
17,13,12,1,187
14,52,12,1,133
6,53,12,1,184
18,53,12,1,114
17,29,11,1,189
23,15,11,2,180
13,56,11,1,115
16,15,12,2,199
16,23,12,2,121
16,79,11,3,127
2,8,11,1,151
16,71,11,4,143
18,41,11,1,139
30,25,12,1,120
14,75,11,2,141
21,87,12,1,105
19,88,11,3,158
16,36,11,1,141
9,36,12,1,133
20,28,12,1,109
4,9,12,2,102
7,141,11,1,125
20,143,11,1,186
15,10,12,3,165
24,86,11,2,102
16,20,12,1,151
17,151,11,1,145
16,102,11,2,196
17,90,11,1,126
17,52,11,2,192
22,159,12,4,173
19,160,11,2,199
16,54,12,1,172
16,82,12,1,118
8,69,11,1,159
35,34,11,2,114
12,57,11,1,196
14,46,11,2,102
15,116,11,2,187
1,23,12,1,157
28,104,11,2,151
16,12,12,2,175
11,106,11,1,158
16,12,11,1,100
6,93,12,1,154
16,78,11,1,190
16,79,11,1,119
16,38,12,4,190
18,39,12,1,148
5,26,11,2,178
18,13,12,1,115
14,99,11,1,201
16,134,11,1,163
19,202,11,3,170
16,119,11,1,159
16,28,12,2,138
5,87,12,1,103
10,105,11,1,132
10,28,12,2,126
22,71,11,1,192
5,126,12,1,116
11,218,12,5,167
17,220,12,2,185
8,148,11,1,129
16,74,12,2,164
16,94,12,3,115
12,45,11,1,140
17,61,12,1,201
7,116,11,1,165
18,78,11,3,139
22,235,11,4,168
13,47,12,1,190
23,99,12,2,165
14,120,11,2,100
15,121,11,2,150
8,16,12,2,179
7,66,11,3,149
32,145,12,3,182
14,146,12,1,190
16,34,12,3,110
11,106,12,2,108
7,34,11,1,100
15,69,11,1,191
12,173,11,1,147
18,70,12,4,122
20,35,12,2,137
16,18,11,4,124
16,267,12,1,165
9,180,12,1,132
13,54,12,1,119
13,73,12,3,128
24,37,12,1,201
16,55,12,2,183
22,116,12,1,154
20,187,12,1,178
17,38,12,1,129
17,285,11,1,161
11,19,11,2,116
17,144,11,3,194
22,194,12,3,181
14,97,12,2,103
16,98,12,1,161
16,39,12,2,140
10,174,11,2,172
26,60,12,1,196
18,20,11,1,170
25,304,12,3,185
10,204,12,2,168
25,128,12,2,197
20,309,12,1,118
18,42,11,3,106
33,157,12,3,159
12,158,12,2,141
17,85,11,1,155
28,319,12,2,196
25,187,11,2,113
14,134,12,3,171
13,22,11,1,141
13,65,11,1,196
16,88,12,3,147
6,220,11,1,158
11,44,12,2,197
10,111,11,1,146
8,336,12,1,175
18,169,11,1,147
9,142,12,2,148
4,142,12,1,115
8,229,12,4,157
17,92,12,1,172
16,70,12,1,145
15,117,12,1,178
26,47,12,1,145
13,206,11,3,152
38,148,12,1,154
23,357,11,2,183
9,359,12,2,172
9,211,12,1,133
27,24,11,1,184
3,73,11,3,134
18,73,12,2,109
15,123,12,1,200
18,247,11,4,187
18,124,12,2,103
15,187,12,2,162
5,376,11,1,131
21,101,12,2,141
20,222,12,3,170
19,223,12,1,184
16,26,12,1,137
13,129,11,1,126
10,226,12,1,123
17,390,11,2,133
17,78,11,1,126
8,164,11,2,100
28,132,11,2,191
21,265,12,2,110
14,166,11,2,122
14,27,12,3,170
9,403,12,1,137
12,202,11,3,166
17,54,12,2,120
22,409,12,2,120
17,274,12,1,170
7,28,12,4,141
11,242,12,1,194
14,111,12,1,186
15,174,11,3,162
16,28,11,3,179
17,141,11,1,137
3,57,12,2,139
16,28,11,1,122
12,214,12,2,125
14,29,11,1,116
20,180,11,1,158
18,181,11,2,130
19,181,12,3,137
19,58,12,2,196
16,293,12,3,178
15,221,11,2,110
16,148,11,1,157
18,148,12,2,161
16,298,12,3,152
10,150,11,1,125
22,30,11,2,196
1,60,11,1,150
15,61,12,2,142
21,91,11,4,108
9,267,12,1,150
13,61,11,1,189
2,462,11,2,143
25,62,12,1,200
15,194,11,1,163
30,234,12,2,119
12,470,12,1,164
15,31,11,3,173
13,95,12,1,130
15,317,12,2,156
16,279,11,1,193
15,280,11,3,173
16,64,11,1,127
17,97,11,2,104
16,32,11,1,196
14,97,11,1,101
8,285,12,2,165
16,131,12,1,108
16,33,11,1,107
1,206,11,1,114
17,132,12,2,147
25,166,12,1,138
16,67,12,1,162
20,335,11,1,124
17,336,11,2,144
21,101,12,2,190
17,135,11,1,146
16,136,12,2,122
7,341,11,2,121
15,171,11,3,127
17,258,12,1,110
4,35,12,1,185
17,35,12,1,139
16,304,12,1,161
16,174,11,4,161
21,105,12,1,161
10,527,12,1,193
9,35,11,2,161
9,221,11,3,150
16,222,11,1,167
27,107,12,2,157
24,107,12,1,156
8,539,12,1,108
27,225,12,3,146
21,145,12,1,132
17,272,11,1,175
7,364,11,5,142
12,73,12,2,165
10,183,11,2,111
13,230,11,3,187
22,323,11,2,122
17,232,11,1,191
16,37,11,3,139
14,373,12,1,121
18,562,12,1,129
8,150,12,2,136
19,330,12,2,137
18,38,12,1,139
26,237,11,1,184
26,286,12,2,162
16,382,12,2,125
19,383,11,1,168
15,77,12,2,170
13,77,11,3,197
18,194,12,1,101
29,194,11,2,175
12,341,12,1,174
12,195,11,4,118
31,245,11,1,137
17,39,12,1,116
8,395,12,1,175
17,198,12,1,150
17,298,11,2,184
17,598,11,1,193
15,400,12,2,122
17,120,11,2,122
19,604,12,1,176
26,303,12,3,162
15,40,11,2,181
13,203,11,1,167
15,255,11,1,135
10,255,12,1,109
15,256,12,5,123
19,617,12,2,169
14,165,12,4,110
26,362,12,1,180
12,42,11,1,172
25,260,12,1,144
17,313,12,4,184
6,314,12,4,162
20,210,11,2,188
18,369,12,1,178
23,264,11,1,179
13,424,12,2,116
16,170,12,2,201
13,320,12,2,133
13,128,12,2,139
21,268,12,2,117
9,269,11,1,104
15,324,12,1,188
10,130,11,1,177
30,380,11,1,180
12,381,11,2,190
17,131,12,1,178
28,438,12,1,183
14,176,12,1,201
15,330,12,3,169
12,221,12,3,165
12,222,11,4,135
15,444,12,1,158
7,223,11,1,188
13,391,12,1,101
7,224,11,1,197
17,393,12,1,145
17,676,12,1,113
13,678,12,1,103
27,181,11,1,123
15,45,12,2,175
4,91,12,1,184
28,91,11,2,114
24,138,12,1,171
33,138,12,2,110
19,46,11,1,156
24,185,11,1,190
