p,r,w,v,T
20,0,9,2,113
17,0,24,3,110
15,3,16,1,131
15,2,11,2,126
18,1,23,1,139
5,2,12,1,163
14,2,20,3,169
11,2,15,3,107
10,16,15,2,122
9,7,20,2,155
12,10,21,2,200
25,14,14,1,125
16,6,10,1,136
10,15,21,2,128
24,14,21,3,121
15,12,23,3,155
16,18,10,2,162
13,14,10,1,145
32,9,21,2,191
16,5,11,1,184
11,13,14,1,119
22,5,13,3,133
12,43,13,3,191
23,12,23,1,146
46,23,11,3,151
8,24,9,3,175
12,21,18,1,125
20,22,13,3,186
8,27,21,1,109
15,8,14,1,199
33,29,9,1,163
11,20,22,1,116
10,42,12,3,135
19,64,16,1,135
12,44,16,1,129
17,18,10,1,103
16,19,9,2,184
19,42,13,2,118
16,43,22,1,172
21,38,22,2,142
17,46,21,1,139
17,40,23,2,105
13,55,9,1,102
19,28,9,2,189
15,23,23,2,140
23,59,12,4,197
15,24,10,2,152
12,31,25,1,121
20,12,24,3,187
21,56,12,3,163
14,33,11,1,199
12,20,20,1,176
14,42,13,2,169
16,52,18,2,149
10,35,17,1,145
16,107,16,1,132
12,15,19,1,192
16,37,12,1,188
20,23,22,3,111
16,31,13,1,124
15,23,14,2,110
14,60,14,1,164
18,40,25,1,201
17,16,22,2,120
12,52,18,2,101
19,74,22,1,163
20,17,15,2,110
7,44,12,2,177
15,77,17,1,112
14,18,23,1,157
16,137,19,1,158
18,28,21,1,107
16,94,18,1,143
24,71,14,1,165
16,19,9,1,156
24,29,15,3,112
21,148,21,1,150
5,20,20,2,182
17,30,20,1,113
17,64,10,1,166
3,104,25,2,110
15,21,13,1,157
15,32,23,2,121
19,22,11,1,143
13,33,22,1,153
14,22,11,1,169
15,45,23,1,195
25,45,24,1,129
16,172,18,3,172
19,174,23,3,201
16,103,15,1,178
12,104,20,4,106
13,75,12,2,101
13,61,25,1,146
10,107,22,2,124
17,77,21,2,161
17,78,19,1,120
16,111,11,2,173
21,112,12,1,171
14,26,24,1,176
19,52,16,1,130
14,82,18,2,167
13,199,22,2,158
14,201,9,1,143
18,135,10,2,132
14,27,15,2,146
24,14,11,1,151
17,139,12,2,115
22,105,20,1,118
