p,r,w,v,T,d
19,0,25,1,109,520
24,1,21,1,201,33
14,2,22,1,119,560
17,3,23,1,149,34
14,5,24,1,196,357
19,7,24,1,193,446
20,7,24,2,193,315
15,6,21,1,127,418
26,13,25,1,125,514
23,21,24,1,111,376
26,10,21,1,114,110
22,13,22,1,135,598
22,4,25,1,168,484
20,31,24,2,112,498
14,22,25,1,126,837
16,5,18,1,117,541
22,25,23,1,105,832
18,3,18,1,183,545
16,6,23,1,100,193
22,3,21,2,126,593
17,13,18,1,152,334
26,21,25,3,109,532
22,3,21,1,104,385
12,7,19,4,159,494
13,57,22,1,195,505
22,40,23,1,182,403
17,62,18,2,107,517
13,17,20,1,139,491
14,22,18,3,199,714
24,29,22,1,111,518
18,30,22,1,201,591
11,43,21,1,160,118
18,38,24,1,135,159
27,5,22,1,177,216
26,27,19,1,116,159
25,6,21,1,169,414
22,11,22,1,162,107
16,37,23,1,154,414
12,60,25,1,188,378
21,12,18,1,146,309
13,32,22,3,172,587
26,32,25,2,107,140
20,100,24,1,172,348
26,60,25,1,164,821
20,104,18,1,161,194
10,107,25,1,150,446
16,45,24,1,158,705
21,65,23,1,183,515
26,15,18,1,150,290
23,58,21,1,139,529
5,40,20,1,159,492
11,8,24,3,158,29
18,41,20,1,149,75
15,17,23,1,124,630
14,128,24,1,188,574
17,65,21,2,172,424
10,35,24,1,132,339
12,68,21,1,163,528
15,46,23,1,102,827
17,140,21,1,133,614
26,142,22,1,178,593
20,84,19,1,186,481
16,98,25,1,114,640
18,30,18,1,142,421
18,41,24,1,116,375
18,10,24,2,199,518
17,31,24,1,149,489
20,80,21,1,102,445
11,43,19,1,147,578
20,96,21,1,103,612
35,111,20,2,134,580
20,112,22,1,137,552
15,34,24,1,173,783
29,115,23,1,170,279
20,88,20,1,174,496
15,74,22,1,184,343
25,60,23,1,147,491
31,61,18,1,129,692
20,93,24,1,125,677
17,94,19,1,160,131
21,63,19,1,153,452
19,13,21,1,172,402
15,26,18,1,175,421
21,39,19,1,199,219
18,66,21,2,153,655
19,13,24,1,115,166
23,136,18,1,155,732
31,69,22,1,138,661
21,70,21,2,174,595
21,123,21,1,134,605
26,107,19,1,199,586
20,43,20,1,157,478
16,218,22,2,108,992
12,110,21,1,131,502
31,149,20,1,103,554
32,132,24,1,104,822
24,61,18,1,142,540
21,96,21,1,151,664
34,16,19,1,151,500
25,137,25,1,121,690
28,99,19,3,111,170
13,80,18,1,153,637
12,141,19,1,139,649
12,65,22,1,140,627
19,33,18,1,187,438
22,33,19,1,149,445
12,126,25,2,103,401
22,17,22,1,191,458
15,171,19,1,169,708
9,108,25,1,169,494
18,70,18,1,155,241
21,110,23,1,109,301
18,53,25,2,112,701
19,134,25,2,118,674
29,72,20,2,151,598
18,273,24,1,183,703
