p,r,w,v,T
17,0,16,2,185
16,1,11,1,180
7,1,10,2,115
12,0,15,1,142
11,3,13,1,199
19,4,11,3,133
18,5,17,1,109
11,14,18,1,170
16,4,16,2,149
19,1,14,2,143
18,12,18,2,164
16,15,15,2,141
14,12,9,2,195
14,15,15,2,158
28,12,12,2,104
10,10,12,1,120
6,16,14,1,143
24,20,17,4,145
27,10,17,1,194
18,13,12,2,180
16,5,12,1,121
15,3,9,3,186
7,26,9,3,149
10,9,11,2,189
16,48,14,1,117
13,50,14,1,170
28,26,9,2,109
17,14,14,1,108
19,56,16,5,131
21,24,15,1,140
17,25,11,2,112
14,21,14,3,111
16,37,9,1,115
14,13,18,1,146
19,28,15,3,100
10,70,10,3,124
22,14,13,1,146
16,31,18,1,134
18,32,9,3,174
14,78,12,1,195
22,47,9,1,161
15,55,18,1,197
18,28,14,3,179
18,17,10,3,121
16,12,13,1,186
23,60,12,1,178
16,6,15,1,177
16,6,13,2,195
18,13,16,2,194
12,7,8,1,159
19,20,12,1,164
19,7,15,1,133
13,104,9,1,200
14,35,9,2,162
14,54,12,3,120
21,7,12,1,150
17,37,9,2,199
24,76,15,1,134
20,23,8,2,162
19,8,14,2,167
11,120,15,2,196
17,24,18,1,101
12,124,11,2,155
24,17,11,2,131
18,85,17,3,103
17,65,18,1,168
16,35,17,5,177
18,67,14,1,186
8,27,18,2,133
22,37,9,1,174
15,28,15,2,141
18,47,17,2,195
3,29,17,7,139
15,85,10,2,186
14,10,13,2,186
18,62,13,1,109
13,30,16,1,150
28,20,11,6,199
16,52,16,1,171
13,11,17,1,150
9,93,9,1,164
8,81,10,1,194
21,164,16,3,166
18,11,14,1,117
15,84,9,5,159
15,23,18,3,145
22,23,18,1,180
29,46,9,1,193
16,102,10,1,198
14,104,14,2,112
16,12,11,2,151
4,36,18,2,189
14,184,12,1,176
16,77,11,4,169
30,13,10,2,124
22,25,13,2,196
16,112,13,1,182
16,26,8,2,170
22,114,8,1,155
11,99,16,1,116
17,27,17,1,200
17,54,18,4,102
20,204,18,1,182
10,55,9,1,156
17,69,16,2,128
9,122,12,2,108
15,88,15,2,168
15,43,8,1,131
29,72,11,1,116
18,145,17,2,131
16,29,13,2,153
26,59,11,2,136
16,45,15,2,166
18,30,14,1,116
13,114,17,1,167
17,15,18,4,196
17,62,8,1,154
16,97,12,2,108
12,47,8,3,101
18,32,16,1,125
15,100,16,1,185
19,64,16,1,135
26,142,12,1,124
15,102,9,1,124
24,82,9,2,141
24,83,11,1,136
20,50,8,1,193
15,34,8,1,176
18,51,18,1,181
13,172,11,1,174
14,173,12,2,107
37,87,12,2,188
20,154,15,1,138
16,18,8,1,132
15,71,14,2,182
22,90,18,2,194
13,18,14,1,103
18,55,14,2,190
9,37,17,1,169
18,116,9,2,142
18,56,16,1,191
15,117,11,1,185
14,189,14,1,176
19,190,18,1,157
15,57,17,1,201
10,19,10,2,190
16,78,10,1,100
22,171,12,3,104
23,295,13,1,172
9,79,14,1,101
19,299,11,4,100
14,151,10,3,167
18,303,16,3,153
8,41,11,2,127
16,154,13,1,168
17,155,9,2,131
14,182,13,1,150
16,42,13,2,154
10,42,11,2,140
16,212,17,1,130
18,133,16,2,153
19,64,9,2,180
17,108,16,1,115
14,136,17,1,105
16,136,12,1,135
16,165,11,1,146
19,331,12,1,107
13,222,8,1,194
11,168,9,1,132
24,90,10,1,179
19,170,15,2,171
25,227,9,2,121
15,172,16,2,108
16,23,14,2,137
17,231,10,2,198
15,116,18,3,160
10,351,9,1,140
6,353,16,1,163
5,207,14,1,105
28,179,15,3,127
13,239,12,2,139
16,48,8,2,201
11,97,9,1,142
16,122,15,1,100
12,184,8,1,151
17,74,16,2,173
20,371,18,2,131
7,187,17,3,184
11,219,15,2,182
17,157,14,2,128
7,101,15,1,170
19,127,9,1,160
15,51,13,1,178
14,77,13,2,165
15,226,18,1,118
20,162,13,3,119
1,261,8,2,101
15,26,15,1,116
15,79,10,1,114
14,165,10,2,199
26,106,12,1,186
7,134,16,2,106
12,403,17,6,101
9,27,14,2,104
19,109,15,1,181
16,170,17,2,103
20,110,12,1,190
15,207,15,1,200
13,28,16,4,167
27,209,11,1,104
19,279,16,1,199
23,211,9,2,138
37,113,12,1,193
22,113,11,1,127
14,57,16,1,155
17,286,17,3,123
14,287,12,1,121
13,289,12,4,172
18,58,18,3,199
15,219,17,3,197
21,117,8,2,146
20,118,13,3,146
