p,r,w,v,T
17,0,25,4,153
21,1,21,1,177
19,1,25,4,150
14,1,25,2,109
11,3,25,1,150
9,5,21,2,180
16,4,25,1,169
16,6,25,4,145
15,7,25,4,164
17,7,25,4,114
19,2,25,2,118
10,10,25,1,164
13,3,25,4,172
5,14,22,1,148
9,2,21,1,116
11,18,22,1,189
13,19,17,4,182
9,8,25,1,172
21,6,25,2,137
16,20,17,2,129
18,2,25,1,159
10,38,19,4,128
11,26,22,2,135
12,11,25,4,118
18,3,25,1,173
13,30,25,2,168
16,31,25,1,185
13,32,25,1,190
19,33,25,2,189
16,26,25,1,128
23,54,25,4,161
6,7,17,1,166
14,8,23,2,120
11,25,19,1,100
14,30,25,2,129
16,31,25,1,188
20,64,25,2,106
10,44,17,1,196
13,45,19,2,200
17,29,19,1,138
25,48,24,4,115
13,5,25,1,128
11,20,22,1,150
10,10,25,1,153
16,46,25,1,160
9,81,25,1,154
14,34,25,1,192
6,11,18,2,155
25,6,25,4,176
10,12,19,4,164
10,6,24,1,179
13,46,25,1,120
18,19,25,4,107
17,32,25,4,196
14,13,25,1,138
20,66,25,1,177
16,20,25,1,114
14,14,25,1,137
19,21,22,1,106
8,44,16,1,124
25,21,25,2,137
17,109,25,1,125
14,37,22,1,201
17,56,25,1,117
13,115,20,1,167
10,116,17,2,120
9,39,15,1,119
13,60,25,2,131
16,8,25,1,126
9,33,25,2,174
13,52,25,4,133
16,8,21,2,135
7,43,25,1,140
11,65,25,1,164
14,35,25,1,104
15,18,22,1,153
15,45,25,1,201
22,80,25,1,182
17,82,25,1,119
17,9,22,1,171
15,38,25,2,200
12,60,21,1,199
10,86,15,4,145
27,99,25,1,138
16,40,25,2,118
15,152,15,2,152
16,64,24,1,188
18,156,25,1,192
14,66,24,2,142
15,93,25,2,201
14,11,16,4,136
7,22,24,4,186
16,82,25,1,170
12,44,25,1,149
9,34,20,1,124
18,23,25,1,133
18,72,25,2,132
10,12,23,1,113
9,35,22,1,149
12,89,25,2,195
16,105,21,2,141
17,90,25,4,144
9,24,25,1,153
19,12,25,4,100
16,37,21,4,128
20,110,25,1,177
10,127,25,4,176
16,26,19,1,176
9,113,16,2,145
14,39,25,1,200
13,131,25,1,108
18,99,25,1,157
19,54,25,2,122
21,101,25,1,130
10,27,25,2,128
19,103,25,1,182
9,121,17,1,109
13,140,25,1,156
19,211,25,2,165
16,43,25,1,121
18,90,25,2,112
16,90,25,2,117
20,73,25,2,154
13,147,25,4,163
9,111,25,2,150
21,30,25,1,200
13,132,22,2,101
14,152,25,1,186
17,134,25,1,154
14,135,18,4,182
22,116,25,2,159
18,78,25,1,151
16,32,25,1,104
11,16,22,4,164
14,100,21,2,150
25,32,25,1,122
15,142,25,4,195
10,16,21,2,103
21,124,25,1,169
18,104,25,4,146
14,146,25,2,104
16,168,25,1,153
21,34,25,2,187
16,68,25,1,174
17,107,25,2,135
14,108,25,2,147
21,262,25,1,181
11,53,20,1,191
13,71,25,1,111
14,53,25,2,128
18,269,25,1,141
19,158,25,1,105
25,91,25,2,159
17,37,25,4,101
13,55,25,4,138
16,56,25,4,201
13,37,23,2,155
16,56,25,1,103
19,142,25,1,159
13,76,23,2,194
13,287,17,2,182
19,168,25,4,181
16,169,25,2,159
21,292,25,1,167
19,147,25,4,132
14,172,17,4,102
11,20,25,2,109
25,100,25,4,110
20,40,25,2,101
12,202,25,1,143
15,61,25,4,146
8,61,25,1,198
14,154,25,1,139
19,207,25,1,141
13,42,25,1,139
16,42,25,1,197
19,210,25,1,197
17,317,25,1,108
16,159,25,4,199
13,134,17,2,152
12,64,25,4,166
11,135,19,1,125
23,65,25,2,196
19,66,25,2,182
16,66,25,1,176
13,110,25,4,132
9,111,16,2,158
13,89,25,4,117
14,22,25,2,138
22,90,25,1,195
13,142,25,1,102
8,46,19,1,155
19,201,25,1,179
10,46,25,1,197
20,232,25,1,158
8,93,25,1,103
15,351,18,4,157
14,24,25,1,135
18,355,25,1,151
5,149,19,1,178
13,209,25,2,142
12,360,25,1,187
6,211,16,1,122
20,242,25,1,107
14,152,25,2,200
18,24,25,1,165
12,25,25,2,173
21,74,25,4,165
11,50,17,2,180
25,374,24,4,128
9,100,18,1,150
10,50,16,1,126
12,380,25,1,130
17,127,25,1,179
12,26,25,1,182
15,51,25,1,106
18,226,25,1,122
7,26,15,1,190
16,78,25,1,199
16,105,25,1,164
10,105,25,1,156
14,132,25,4,164
9,133,25,1,122
3,133,16,1,138
17,401,25,4,194
15,107,25,1,172
13,405,25,4,200
6,81,16,1,195
18,109,25,1,113
11,109,16,1,126
12,27,24,2,125
16,138,25,2,129
22,242,25,2,116
13,244,25,4,146
14,279,25,1,180
8,112,16,2,174
16,28,25,2,159
14,85,25,2,180
8,426,19,2,149
9,143,18,1,117
15,115,25,1,200
14,252,25,1,133
17,181,25,4,193
15,87,21,2,137
23,117,25,4,183
17,117,25,2,134
21,441,25,4,137
18,148,25,1,172
10,118,16,2,186
11,119,25,2,135
14,187,25,4,110
16,120,25,2,179
