p,r,w,v,T
9,0,25,1,102
13,1,25,4,115
12,4,23,2,147
22,1,25,4,149
13,2,23,1,111
12,9,19,1,158
8,6,15,1,150
19,4,24,1,121
12,14,21,1,143
11,5,25,1,143
14,5,25,2,134
24,10,25,1,155
18,9,25,1,114
11,15,25,1,105
19,7,25,2,160
23,5,25,1,122
14,10,25,4,175
17,6,25,1,143
11,11,25,1,132
12,11,25,1,155
18,15,25,1,122
19,13,25,1,169
23,5,25,4,148
14,17,25,2,179
14,43,16,2,133
15,30,25,1,130
16,31,25,2,133
13,20,18,4,130
15,50,25,1,112
9,52,25,2,149
10,7,17,4,111
19,32,25,1,168
15,15,25,4,168
11,30,25,2,131
12,20,25,1,173
15,17,25,1,110
15,64,23,2,198
14,9,25,4,128
9,9,25,1,158
11,46,25,1,170
18,72,25,1,114
16,5,25,1,111
24,31,25,1,133
18,26,19,1,153
20,5,19,2,132
7,27,25,2,194
8,22,15,2,164
11,42,25,1,144
29,57,25,1,177
24,29,25,2,132
15,18,25,2,120
21,6,25,1,106
15,54,25,4,154
13,19,20,1,143
8,97,15,2,134
5,7,25,1,154
14,58,25,1,149
13,51,25,2,189
18,69,25,1,174
11,28,25,2,130
18,63,25,4,106
18,7,25,1,184
13,111,25,1,131
15,8,25,1,160
15,76,25,2,153
15,23,25,2,120
14,8,25,2,134
18,16,25,1,146
24,122,21,4,128
11,25,15,1,124
14,25,19,2,121
22,25,25,4,149
18,9,25,1,196
15,26,23,4,192
16,66,25,1,196
7,78,25,4,154
9,27,15,1,104
15,92,25,1,175
9,81,25,4,111
19,28,25,1,138
15,83,25,2,119
14,145,20,1,107
18,20,25,2,123
13,49,25,1,127
20,50,25,1,102
13,20,25,1,177
14,64,25,1,150
13,104,25,1,105
6,21,25,1,159
11,21,25,2,106
16,54,25,1,170
14,81,25,2,178
17,69,25,1,112
24,111,25,1,168
22,112,25,1,178
8,113,25,1,120
18,172,25,1,126
15,35,25,4,151
21,73,25,2,158
18,24,22,2,144
18,12,25,4,161
11,48,20,2,173
12,12,25,1,197
12,123,21,4,160
10,37,20,1,167
14,110,25,2,136
16,126,24,1,146
14,112,25,2,116
20,129,25,1,116
11,39,25,1,133
11,131,16,2,108
17,198,25,1,175
14,40,25,4,189
13,27,25,4,124
16,14,25,2,179
19,55,25,4,169
20,121,25,2,188
12,105,25,1,126
19,56,25,2,155
15,57,18,2,135
8,143,20,1,151
13,144,22,4,194
15,109,18,2,165
18,59,25,1,133
17,59,25,4,106
15,93,25,2,106
27,225,25,1,144
8,114,15,2,108
17,153,25,2,188
16,15,22,1,182
17,116,25,1,162
7,16,15,4,112
13,47,15,1,112
17,63,25,1,135
11,240,25,1,129
15,64,18,1,146
12,81,24,4,143
18,143,20,4,151
19,66,24,1,126
16,33,25,1,166
9,83,16,2,180
20,147,25,1,109
9,127,19,4,100
15,170,21,1,183
17,107,25,2,113
19,130,25,1,136
17,70,25,2,197
13,175,25,4,128
18,176,23,2,184
12,266,17,1,178
12,134,19,1,186
11,180,21,1,185
11,72,25,2,165
9,182,25,2,132
15,37,25,1,115
17,139,24,1,146
15,163,25,1,108
21,117,25,1,144
28,118,25,1,191
13,166,25,4,116
5,119,24,1,121
25,120,25,2,144
16,121,25,1,159
12,170,25,1,130
15,122,25,2,176
11,59,25,2,109
19,59,25,1,128
15,60,25,2,197
9,60,25,4,108
14,101,25,1,201
15,152,25,1,157
20,20,25,1,102
12,154,25,2,160
12,62,25,1,126
10,181,20,4,126
16,313,17,4,149
12,63,25,1,107
11,132,25,2,158
22,106,25,2,182
17,85,25,1,138
19,107,25,1,189
11,189,18,4,200
18,136,20,1,188
9,191,21,2,195
20,219,25,1,140
15,66,25,4,159
20,22,25,2,194
13,334,25,1,126
9,67,22,2,189
12,141,25,1,180
15,68,25,1,167
19,142,25,2,115
8,69,18,4,117
22,23,25,1,142
17,173,25,1,112
15,93,25,4,149
13,93,25,1,130
21,235,25,2,153
14,177,25,1,186
8,24,25,2,196
27,149,25,1,158
8,120,25,4,158
17,48,25,4,157
23,242,25,1,161
13,24,22,1,110
7,122,25,2,149
21,49,25,2,117
20,247,25,2,117
12,186,25,2,178
22,187,25,1,179
13,375,17,2,111
17,101,25,2,146
17,221,25,2,131
14,76,25,1,124
14,26,25,2,105
17,26,25,1,183
16,225,21,2,175
18,103,25,4,167
11,227,25,1,131
14,78,25,4,163
15,164,19,1,169
18,132,25,4,165
15,132,25,2,143
18,399,25,4,191
21,27,25,1,169
11,107,25,1,124
18,236,25,1,184
12,271,25,4,130
21,54,25,2,139
14,82,25,1,113
10,55,25,2,154
19,172,25,1,197
7,207,25,1,172
9,83,25,1,171
11,418,17,4,114
22,56,25,1,151
17,84,25,2,133
16,28,25,1,153
8,28,15,1,172
23,427,25,2,111
14,143,25,1,158
11,57,25,2,192
10,115,19,1,191
15,29,25,2,133
18,291,25,2,156
18,292,25,1,173
11,88,22,1,119
15,294,25,2,151
15,118,25,1,194
22,30,25,1,162
22,261,25,4,140
13,90,25,2,171
10,150,17,1,181
14,302,25,1,131
8,30,20,1,151
23,190,25,2,101
11,229,21,1,131
17,61,25,4,155
16,231,25,4,161
20,193,25,1,135
9,124,23,1,189
9,31,17,1,151
13,273,22,2,137
14,313,16,1,114
8,31,25,1,190
11,276,25,2,194
13,198,25,4,166
17,64,25,4,133
18,240,22,1,201
17,32,25,4,201
10,129,25,4,171
13,32,25,2,154
14,243,25,1,126
16,98,25,2,107
17,286,25,2,136
22,33,25,1,158
17,164,25,4,183
23,495,25,4,193
20,497,25,2,129
21,208,25,1,121
7,167,25,2,114
14,335,25,1,101
