p,r,w,v,T
20,0,25,2,144
15,0,25,4,125
11,1,25,1,136
14,4,15,2,181
14,5,25,1,200
11,4,15,1,129
10,6,18,1,187
12,8,25,1,117
13,4,25,1,134
15,2,25,1,165
13,9,24,1,193
11,20,25,1,147
19,22,25,1,154
9,14,15,4,155
10,5,25,2,117
16,11,25,1,155
14,17,24,2,186
17,31,25,1,115
19,2,25,2,154
11,11,25,2,149
11,2,15,1,163
6,13,19,4,100
19,40,25,4,110
19,8,25,2,127
12,44,17,1,100
11,30,25,4,128
19,9,25,1,131
21,20,25,1,171
10,10,21,2,168
14,11,25,2,112
10,54,16,1,123
16,28,25,4,189
15,29,25,1,198
10,60,25,1,163
13,21,19,2,116
17,63,25,4,154
12,38,25,1,191
18,28,25,2,145
11,18,25,4,105
7,71,24,2,129
15,24,25,1,152
24,37,25,1,183
9,15,25,1,161
15,39,25,2,126
16,53,22,2,110
9,82,18,2,116
24,49,25,2,143
9,23,18,1,118
16,44,25,2,155
13,6,25,1,193
11,6,21,4,116
24,6,25,1,129
22,25,25,1,131
14,6,25,4,163
22,33,22,1,200
19,33,25,2,119
14,102,25,1,147
5,60,25,2,127
6,35,25,1,159
13,7,25,2,122
18,15,25,1,200
12,22,25,1,125
20,47,25,2,117
21,114,17,2,188
22,116,25,2,196
25,59,25,1,159
14,120,25,1,144
19,71,25,1,190
8,82,25,4,157
8,33,15,4,126
17,34,25,4,186
18,43,25,1,152
22,65,25,2,140
14,9,25,1,193
6,89,18,1,147
22,45,25,1,144
15,9,25,1,159
12,140,23,1,117
19,141,20,1,110
15,19,25,4,156
8,60,16,2,132
14,73,25,1,137
20,74,25,1,161
16,50,25,4,117
22,51,22,1,141
15,31,25,4,140
18,65,25,4,197
16,105,25,1,189
17,93,25,4,107
24,67,25,1,114
17,82,25,4,116
19,11,25,1,123
16,22,25,4,197
15,34,25,1,130
9,23,25,1,149
23,86,25,2,102
17,73,25,4,191
17,23,25,1,172
8,36,16,2,142
16,120,25,1,165
19,106,25,4,142
20,24,25,4,199
13,49,16,1,115
17,62,25,2,150
12,50,17,1,184
13,63,25,1,153
20,38,23,1,134
27,129,25,2,143
18,98,25,1,190
1,26,25,2,156
13,53,16,2,184
10,117,25,1,167
11,41,18,1,183
10,27,25,2,168
20,55,25,2,175
18,208,25,2,149
11,210,25,2,106
21,42,25,2,159
12,143,20,2,112
11,126,25,4,152
13,218,25,2,125
8,29,17,2,193
12,74,25,1,136
11,45,25,1,101
17,94,25,2,107
15,76,25,4,156
14,114,25,1,133
11,230,25,2,172
15,135,25,1,158
21,47,24,1,181
15,63,25,4,189
23,237,25,2,161
19,100,25,2,142
8,80,15,4,109
12,162,25,2,122
10,33,22,1,112
20,33,25,1,100
11,166,25,1,150
10,17,25,2,178
13,126,25,1,103
10,127,25,2,166
10,256,17,1,161
11,17,25,1,143
15,151,25,1,198
7,261,25,2,160
8,70,25,1,114
9,110,25,2,123
19,18,24,1,180
16,179,25,1,173
15,72,25,1,100
24,18,25,4,158
22,73,25,1,136
17,138,25,1,130
10,116,25,1,164
13,74,24,2,143
7,19,16,4,164
20,94,25,4,118
7,19,25,4,193
15,119,25,2,137
21,96,24,1,103
23,77,25,2,169
20,58,25,1,199
15,59,25,2,174
17,123,25,1,112
13,297,25,1,161
10,150,25,1,133
