p,r,w,v,T
16,0,25,2,138
20,0,25,2,178
17,1,25,2,193
16,0,25,1,107
10,7,18,2,113
14,2,25,1,141
10,1,25,2,142
20,7,25,1,111
13,2,25,1,191
13,1,25,1,186
15,6,25,1,171
21,20,25,4,188
10,12,22,1,125
16,12,25,1,196
23,12,25,2,195
20,16,25,2,151
19,28,25,4,118
20,8,25,1,146
12,4,25,1,186
13,14,25,4,146
21,21,25,4,181
14,19,25,1,117
6,26,20,4,104
15,3,25,2,104
18,43,20,2,102
9,19,17,2,143
21,9,25,2,127
4,32,17,1,163
18,33,25,1,124
17,26,24,1,188
14,22,25,2,109
15,55,25,4,122
18,8,25,2,180
16,12,25,2,143
18,60,24,1,181
19,31,25,2,158
21,37,25,1,133
15,22,25,1,146
12,45,18,4,130
8,23,25,2,176
15,9,25,1,135
21,49,25,1,141
7,50,25,1,159
16,38,25,2,124
20,21,25,4,191
8,27,18,2,150
13,55,16,1,198
9,42,20,1,100
11,6,25,1,194
17,17,25,2,189
9,12,25,2,183
9,60,20,1,173
19,25,25,1,177
10,39,25,2,152
14,40,25,4,164
17,98,25,2,138
13,42,25,4,143
20,34,25,2,176
19,14,25,2,163
13,70,25,2,198
10,62,25,1,105
21,36,25,4,187
13,7,25,2,200
12,15,19,4,147
18,38,25,1,112
18,8,25,1,198
13,59,25,1,195
16,70,25,1,126
10,24,25,2,175
20,41,25,1,184
19,83,23,2,176
7,63,25,1,115
17,85,25,1,124
15,65,25,2,175
12,26,25,1,161
10,9,20,1,142
25,27,25,1,152
9,27,21,2,105
31,93,25,4,165
15,9,25,4,146
16,59,21,1,172
10,144,25,4,184
16,85,25,4,103
18,20,25,1,115
6,20,25,1,184
18,50,25,4,186
19,31,25,1,163
14,155,25,2,153
16,21,25,1,153
16,79,25,1,174
12,80,19,1,180
13,11,25,1,118
17,68,25,1,101
18,69,25,4,170
10,167,25,2,154
11,85,25,2,116
19,11,25,1,142
13,72,25,2,162
16,47,21,2,147
13,59,15,1,198
18,36,23,4,148
13,36,25,2,198
14,24,19,1,117
15,37,25,4,166
5,37,18,4,180
22,93,25,2,136
13,126,17,1,118
12,95,25,1,127
14,80,25,1,149
20,194,25,2,107
10,196,25,1,134
15,53,25,1,152
16,133,25,2,130
10,40,15,4,161
14,101,25,4,130
20,27,25,2,102
18,86,25,4,114
14,42,25,1,119
15,87,25,2,200
19,28,25,1,163
10,43,25,1,138
9,14,25,4,128
14,58,25,2,122
7,44,21,2,169
11,59,25,4,179
13,222,25,4,133
8,112,16,2,154
16,75,19,1,125
17,133,25,1,118
6,77,16,2,149
14,96,25,1,112
21,117,25,2,120
19,31,25,1,201
13,32,20,1,141
19,139,25,4,106
13,140,25,4,187
12,16,25,1,113
4,65,25,2,116
16,65,25,4,106
10,82,15,4,117
18,104,25,1,119
17,146,25,4,118
14,168,25,1,113
12,170,16,1,177
10,256,25,1,157
9,17,24,4,135
11,17,25,1,107
16,109,25,1,113
10,176,15,2,131
6,35,22,1,161
11,156,25,2,102
14,18,25,4,161
13,90,25,1,158
17,113,25,1,168
15,114,25,4,189
20,161,25,1,141
26,74,25,1,119
13,93,16,1,120
17,281,25,2,117
10,165,19,2,182
13,190,25,2,185
11,57,25,1,163
16,288,21,1,164
16,121,25,4,133
17,195,25,4,167
13,98,25,1,146
16,20,25,1,137
21,59,25,1,191
18,299,25,1,148
13,175,25,4,108
16,302,25,1,195
19,81,25,1,176
18,61,25,4,200
24,180,25,1,151
18,83,25,1,177
17,21,20,1,124
17,157,25,1,156
14,21,25,1,121
30,185,25,1,190
13,64,20,2,194
23,85,25,4,114
14,161,22,1,182
16,86,25,2,100
14,87,20,2,193
15,87,25,1,151
13,110,21,1,186
26,66,25,1,134
20,222,25,2,201
22,112,25,2,102
9,45,25,2,183
18,113,25,4,186
21,91,25,2,112
15,23,17,1,153
12,172,23,1,148
13,115,25,4,109
11,347,19,1,151
23,23,25,2,115
14,70,25,1,173
6,47,16,2,140
16,148,25,2,173
13,24,21,1,145
20,358,25,2,131
22,240,25,4,139
14,151,20,1,153
24,181,25,1,116
14,24,25,4,175
12,244,25,2,180
17,153,25,2,156
14,123,25,1,120
12,99,16,1,105
6,50,25,4,113
20,250,22,1,195
8,50,19,4,147
9,126,19,1,103
14,102,20,2,122
13,26,25,4,142
19,192,25,4,105
11,26,25,2,165
15,78,25,1,117
13,52,25,1,110
19,163,25,4,114
11,229,25,4,174
11,395,25,1,193
21,231,25,2,129
12,27,25,1,166
12,53,24,4,167
9,134,18,1,185
6,269,16,2,103
9,406,20,1,196
10,54,18,4,105
14,109,25,4,122
26,240,25,2,151
12,138,25,4,198
15,173,25,1,135
19,208,25,4,175
11,418,25,1,198
11,280,15,1,176
16,84,25,1,147
11,113,25,2,107
10,213,25,2,103
19,249,25,4,155
20,250,22,1,164
12,115,25,2,104
10,86,25,2,134
9,253,15,1,192
20,436,25,2,189
22,146,25,1,125
21,440,25,4,118
20,118,22,1,174
11,258,25,1,134
