p,r,w,v,T
18,0,23,1,107
24,1,25,1,123
14,0,25,2,109
11,5,25,1,173
20,1,25,1,149
19,5,25,1,168
14,6,25,2,131
10,3,19,2,196
13,7,18,1,186
16,2,25,1,183
16,4,25,1,149
14,19,25,2,131
11,4,25,1,138
7,6,17,4,107
17,8,25,2,195
11,26,24,1,143
16,16,25,1,195
13,4,25,2,185
17,2,25,1,148
13,11,25,1,180
14,35,25,2,167
14,25,25,1,176
13,8,25,1,100
16,17,25,1,158
15,28,25,1,145
17,3,25,1,117
11,3,25,1,150
25,28,25,4,169
18,25,25,4,142
20,10,25,2,129
13,7,25,1,139
22,15,25,1,175
15,28,25,1,170
12,16,25,4,132
12,25,25,1,181
16,41,25,4,166
12,21,25,4,156
19,22,25,4,146
7,9,19,4,188
16,40,25,1,141
15,29,19,1,197
16,72,25,1,179
13,49,25,1,136
11,15,25,2,156
14,26,20,1,184
17,5,25,4,185
14,34,25,1,151
15,11,25,4,144
13,35,25,1,119
15,6,25,2,109
15,29,25,1,166
10,45,25,1,130
7,61,25,2,183
13,25,24,1,123
10,48,19,2,140
5,57,15,1,199
15,33,25,2,194
7,67,17,4,158
11,20,25,2,137
16,43,25,1,128
14,53,22,1,115
21,29,25,1,193
18,15,25,1,119
20,15,20,2,145
19,8,25,4,114
16,76,25,1,126
16,116,25,1,105
23,69,20,1,112
15,32,25,2,183
13,61,25,1,124
