p,r,w,v,T
14,0,25,2,180
18,0,20,1,120
13,0,25,1,141
23,2,25,1,179
13,2,18,2,107
9,1,17,2,153
16,4,25,1,155
25,9,25,2,172
16,9,25,1,162
5,6,19,2,165
10,19,25,2,115
19,7,25,1,150
16,15,25,4,138
22,14,25,2,129
12,17,22,2,111
16,7,19,2,104
19,6,25,4,132
18,16,25,2,161
6,19,22,4,110
14,9,25,1,189
25,7,25,2,163
24,16,25,4,133
9,8,17,2,172
25,14,25,1,113
17,19,25,2,144
12,23,25,2,157
16,48,25,4,174
6,10,25,2,146
16,52,22,1,182
14,14,25,4,111
24,7,25,2,174
9,8,24,1,142
15,25,25,1,183
18,61,23,1,147
7,63,25,1,156
12,9,20,4,178
16,33,25,2,162
13,23,25,4,173
16,5,25,1,190
14,42,20,4,190
6,10,16,1,200
12,38,16,1,174
15,5,25,1,195
25,16,25,1,178
19,22,25,1,195
20,56,25,2,167
12,43,25,4,171
20,58,25,4,112
18,52,25,4,196
13,6,25,1,201
