p,r,w,v,T
7,0,18,2,142
20,1,25,1,168
19,0,25,2,189
13,3,25,4,185
17,2,25,1,177
14,3,20,2,164
19,7,25,2,130
13,8,25,4,131
12,1,23,1,130
22,8,25,4,180
21,11,25,1,128
11,13,15,4,140
13,7,25,1,108
14,5,25,2,130
7,5,15,2,152
8,27,15,1,195
7,10,21,2,173
17,10,25,1,132
15,2,25,4,177
22,20,25,2,157
20,5,25,2,199
16,19,25,4,117
22,17,25,1,101
8,24,25,4,111
11,3,25,1,187
15,9,25,1,154
22,47,25,1,188
14,13,20,1,182
15,3,25,1,110
7,11,20,2,177
11,54,25,4,120
17,7,25,1,199
15,58,20,4,164
17,30,20,1,103
14,41,20,1,168
17,8,25,4,137
8,33,19,4,172
10,13,19,4,149
19,14,25,1,144
15,41,20,2,180
9,19,25,2,195
14,20,18,1,186
12,10,25,1,145
13,26,25,2,178
6,11,19,1,133
20,48,25,1,111
17,11,25,4,126
14,6,25,2,154
16,6,25,2,134
18,59,25,1,138
14,24,25,2,169
9,46,15,1,181
10,94,16,2,154
13,19,20,1,137
13,65,25,2,198
13,50,25,4,167
12,42,25,1,171
15,14,25,2,113
7,53,25,2,102
9,71,15,2,177
19,54,25,1,120
15,74,24,2,183
21,66,25,1,109
14,30,25,4,124
15,58,24,1,103
9,31,24,1,103
15,8,25,1,141
17,61,21,1,149
13,33,16,1,181
19,63,25,4,177
23,34,25,1,186
22,17,25,1,169
15,9,25,2,115
25,132,25,1,173
16,134,25,2,136
16,45,25,2,126
16,80,25,2,199
11,81,25,2,102
15,47,25,1,192
12,29,19,1,146
18,10,25,1,177
17,20,25,1,186
9,87,22,1,104
16,88,22,1,145
15,20,25,2,201
9,51,16,1,104
13,65,25,4,108
22,32,25,4,112
16,43,25,1,112
29,22,25,1,192
18,44,25,2,148
20,11,25,1,174
10,56,25,1,126
15,34,25,2,144
21,11,25,1,102
12,23,21,1,116
16,23,25,1,174
9,59,22,1,121
12,36,25,2,157
21,90,25,1,153
19,76,25,1,181
12,49,19,4,122
17,185,25,1,117
14,93,20,1,115
18,13,25,1,148
16,79,25,1,177
12,51,25,1,127
17,113,20,1,189
23,131,25,1,181
16,13,25,2,133
22,83,25,4,138
6,13,23,1,138
8,85,22,1,161
13,27,25,2,173
18,138,25,4,174
13,87,25,2,101
16,70,20,4,148
17,212,25,1,159
15,71,25,4,184
17,216,25,1,101
21,91,25,1,184
9,128,17,1,140
15,147,25,1,153
13,74,25,1,192
17,15,25,1,190
14,45,25,2,190
21,61,25,2,123
11,46,23,1,186
14,232,25,2,100
14,156,25,4,141
15,157,19,1,153
15,158,25,1,106
13,16,16,1,100
19,80,25,4,135
9,32,25,4,149
21,49,25,1,166
17,247,22,1,159
13,145,25,1,108
11,50,25,2,110
31,34,25,1,183
12,127,25,4,114
12,107,25,1,171
11,34,19,4,196
9,52,18,4,173
11,152,24,1,125
15,131,25,1,110
24,35,25,1,164
12,267,25,1,123
14,112,25,2,141
21,180,25,2,144
19,91,25,1,148
14,73,25,1,120
17,184,25,1,158
18,92,25,2,158
13,279,18,1,166
18,56,25,2,181
15,141,20,1,186
10,19,25,1,115
16,19,25,1,193
6,120,25,4,139
17,193,20,2,153
17,58,25,2,171
11,39,25,4,112
15,148,25,1,191
11,173,25,1,142
19,60,25,1,117
10,80,25,2,113
16,303,25,4,166
18,127,25,1,196
17,82,23,1,109
16,128,25,1,111
13,310,25,1,139
16,312,25,2,192
14,209,17,4,195
20,131,25,1,120
24,317,25,1,172
11,85,15,4,168
13,187,25,1,146
17,161,23,2,103
16,135,25,2,161
16,136,25,4,162
12,137,16,2,166
20,88,25,1,162
19,111,25,1,147
19,195,25,1,197
14,335,25,1,174
13,169,25,4,167
17,113,25,1,201
20,91,25,1,152
17,143,25,1,134
