p,r,w,v,T
11,0,18,1,166
13,0,25,2,177
19,2,25,4,191
13,4,24,2,134
14,1,19,4,187
15,2,25,4,196
15,2,23,4,192
14,7,17,2,150
16,6,25,4,197
13,1,15,4,196
21,18,24,2,165
14,1,19,1,195
12,3,25,2,104
7,3,19,1,170
10,10,25,4,124
13,2,25,1,195
12,6,22,1,137
23,18,25,2,164
8,11,15,1,189
14,23,25,4,160
9,2,15,1,159
15,16,24,4,140
17,3,22,2,122
13,8,25,4,186
14,18,25,4,127
15,30,25,1,142
21,6,23,1,133
19,24,23,1,132
10,13,25,1,200
12,35,25,2,185
16,31,25,4,158
11,19,19,1,189
16,38,25,4,172
18,4,25,1,100
18,36,25,4,125
15,17,19,2,121
22,43,22,2,173
10,33,16,1,176
16,23,25,4,123
19,14,25,2,128
8,72,25,4,106
20,31,25,1,159
14,5,23,2,148
10,5,25,1,143
12,79,20,1,179
21,11,25,4,173
10,34,25,1,162
16,22,18,2,199
22,23,25,1,122
18,18,25,2,201
10,37,25,1,181
18,91,25,4,190
19,47,25,1,134
17,25,25,1,174
13,56,25,2,189
12,49,25,4,165
17,27,25,4,137
23,7,25,1,123
17,21,25,4,164
15,14,21,2,183
14,36,19,4,131
12,109,22,4,153
15,15,25,2,139
8,113,19,4,186
24,23,25,1,186
20,68,25,1,172
14,49,19,2,168
18,60,25,4,125
9,32,25,1,173
8,124,16,1,186
16,63,25,2,125
16,8,25,4,169
10,26,25,1,154
15,9,15,1,200
6,18,25,1,165
16,45,25,1,133
21,27,25,1,156
22,80,25,2,172
15,140,25,4,157
12,83,25,1,143
15,48,25,1,182
10,48,17,2,140
17,86,25,2,170
11,40,20,1,110
15,88,19,1,122
14,51,25,1,142
11,31,25,2,191
18,104,25,1,162
12,66,25,4,185
11,93,25,2,166
19,43,25,1,136
9,43,25,2,183
17,96,25,4,135
17,56,25,1,136
12,11,16,1,125
15,23,20,4,174
10,34,21,1,175
15,58,23,1,191
15,12,25,4,191
19,35,25,1,159
10,60,20,1,126
11,75,19,4,105
9,61,25,1,150
11,25,25,1,129
9,93,25,1,182
20,78,25,1,136
22,38,25,1,167
24,128,25,1,184
8,97,25,4,136
15,130,25,4,114
9,82,21,1,120
14,99,23,4,151
15,100,25,1,172
12,202,25,2,190
18,204,24,2,170
17,14,25,2,138
17,42,25,4,143
11,105,25,1,132
14,28,25,1,112
8,213,19,2,146
10,14,25,1,124
21,144,25,2,183
18,109,25,2,156
16,92,22,1,128
14,93,18,2,131
19,30,25,1,189
23,30,25,1,173
2,95,21,4,165
15,115,25,2,190
24,96,25,4,104
17,78,25,1,112
13,137,25,4,121
16,32,17,2,122
9,48,19,1,146
10,240,25,2,111
15,242,25,2,171
17,142,25,4,175
12,33,25,4,181
20,33,25,1,131
5,66,20,4,151
14,146,25,2,119
24,168,25,4,160
16,68,25,4,131
26,51,25,4,184
10,172,16,1,133
19,69,25,2,139
23,153,25,1,105
18,88,25,1,115
22,71,25,1,184
8,18,16,2,121
23,134,24,1,122
18,180,25,1,124
20,113,25,1,143
13,160,21,1,164
16,55,22,1,114
20,278,25,2,201
12,279,25,1,136
16,187,25,1,187
12,75,18,1,102
14,38,25,1,102
19,19,25,1,113
13,120,25,4,153
16,77,25,1,124
18,39,25,2,163
16,147,25,1,140
11,99,25,2,190
17,40,25,1,169
16,199,24,1,134
11,176,16,2,109
11,126,25,2,129
10,304,25,2,115
11,306,25,2,196
17,128,25,2,163
16,155,21,2,111
19,83,25,2,140
12,63,15,1,118
14,158,25,2,134
14,42,25,1,123
18,186,25,2,186
9,187,25,2,104
8,64,25,2,191
18,65,20,4,142
15,87,16,2,132
25,109,25,1,159
15,44,25,1,148
17,331,25,1,179
22,44,25,4,182
18,112,25,4,165
14,168,25,2,119
12,197,25,2,127
5,199,25,1,110
24,23,25,1,112
15,46,25,1,191
7,23,19,4,129
