p,r,w,v,T
20,0,25,1,177
14,0,17,2,129
11,1,25,2,135
12,3,25,1,111
24,0,25,4,120
25,5,25,1,180
8,1,19,1,138
7,3,25,2,101
16,1,25,1,178
21,4,25,4,106
19,5,23,2,200
18,20,25,1,162
16,11,25,1,158
16,3,22,2,138
16,26,25,2,106
17,16,25,2,139
13,12,21,2,164
8,18,25,1,140
15,22,25,4,146
15,20,25,1,172
12,10,20,2,167
18,3,25,1,184
29,5,25,1,114
12,11,20,4,164
13,26,25,1,126
11,31,17,4,116
10,48,16,4,187
21,7,25,1,174
16,17,25,2,101
18,36,25,1,184
17,28,25,1,161
11,33,25,1,102
11,34,25,1,145
19,25,25,1,190
20,21,25,2,100
16,32,23,1,144
14,66,22,2,103
14,14,25,1,113
17,29,25,1,173
16,10,24,1,118
15,37,20,2,142
11,50,25,4,132
21,15,25,1,135
8,46,16,1,134
7,5,17,1,129
15,22,22,1,183
9,28,20,1,154
11,29,20,1,137
17,29,25,1,150
20,45,25,2,107
22,18,25,2,140
21,47,25,2,132
21,48,25,4,163
19,98,22,1,132
18,7,25,1,120
17,59,25,4,148
13,27,20,1,151
8,44,17,2,108
11,71,25,1,123
10,45,17,2,163
15,74,24,2,176
17,37,25,1,190
12,76,25,1,115
21,116,25,4,143
11,24,25,1,112
6,16,15,1,157
20,8,25,2,173
27,8,25,4,107
12,73,25,4,133
11,53,25,1,178
12,86,20,2,122
12,54,17,1,105
9,9,16,4,140
20,78,25,1,198
13,27,25,1,133
13,37,25,4,197
6,140,15,1,175
14,142,25,1,157
14,29,23,1,153
19,61,25,1,115
16,61,25,4,153
15,30,25,1,120
18,50,23,1,166
25,76,25,1,123
17,103,25,2,102
16,91,25,1,186
14,53,22,1,168
14,160,25,1,144
23,67,25,2,125
11,44,25,1,121
18,11,25,2,100
14,167,25,2,132
18,45,25,2,197
7,11,17,2,145
13,58,25,4,149
15,35,25,4,119
12,118,25,1,174
25,48,25,1,193
20,60,25,2,104
11,24,25,1,201
14,61,25,2,162
8,37,18,4,128
16,25,25,1,193
12,51,25,1,168
11,64,25,2,182
19,26,25,4,175
16,26,25,4,120
6,52,25,1,113
18,40,23,2,144
16,201,25,1,182
23,84,25,4,127
18,14,25,1,157
11,206,25,1,196
13,208,16,1,186
10,140,16,1,119
22,106,25,2,200
12,28,25,2,153
18,43,25,1,142
24,109,25,1,164
14,128,25,1,129
19,147,25,1,164
14,111,25,1,123
16,94,24,2,107
23,60,25,2,161
12,15,22,2,123
19,153,25,2,103
15,31,21,2,151
18,97,25,1,178
16,78,25,4,110
14,16,22,2,159
