p,r,w,v,T
19,0,25,1,154
18,2,25,1,196
15,0,25,2,162
11,1,25,1,122
15,5,25,1,103
14,2,25,2,133
20,5,23,1,135
15,6,25,4,193
15,14,25,2,157
16,5,25,2,115
17,6,25,1,150
17,8,25,1,167
20,6,25,4,161
19,2,25,2,151
15,2,25,1,168
10,2,25,1,119
15,8,25,1,165
15,10,18,2,121
13,11,25,1,135
17,23,24,2,144
10,10,25,4,146
23,8,25,1,129
12,8,25,2,109
19,21,25,1,106
15,9,25,2,119
11,9,18,1,103
10,19,18,2,180
15,13,25,1,155
16,21,22,2,187
18,17,25,1,181
8,31,16,2,150
17,23,25,2,190
16,15,25,1,104
13,4,25,2,144
13,16,15,4,146
15,26,25,2,194
26,38,25,1,199
19,13,25,1,196
12,14,25,1,163
12,9,17,2,151
13,10,16,2,199
14,43,25,2,165
23,5,25,4,114
16,77,25,1,116
12,26,25,1,154
10,81,18,1,118
21,17,25,1,184
12,11,25,1,158
15,6,25,1,154
17,18,25,4,198
19,37,25,2,113
11,38,18,1,129
15,12,25,1,157
9,25,25,1,108
15,26,25,1,144
16,7,25,1,187
10,50,25,1,183
10,34,25,1,110
14,14,21,1,107
17,44,25,2,166
18,7,25,1,110
15,37,25,1,192
16,22,18,2,174
8,113,15,4,198
19,77,25,1,103
17,49,25,4,150
17,32,25,2,153
15,70,22,2,132
11,61,25,4,151
16,25,25,2,164
13,63,25,1,148
13,43,25,1,180
14,26,25,2,167
14,87,25,1,176
13,67,25,1,100
16,36,25,1,158
15,68,25,1,145
17,9,25,1,117
11,82,25,1,150
25,28,25,4,169
18,10,25,4,142
20,10,25,2,129
13,86,25,1,139
22,87,25,1,175
15,76,25,1,170
12,20,25,4,132
12,77,25,1,181
16,104,25,4,166
12,42,25,4,156
19,32,25,4,146
7,94,19,4,188
16,109,25,1,141
15,44,19,1,197
16,84,25,1,179
13,34,25,1,136
11,34,25,2,156
14,72,20,1,184
17,35,25,4,185
14,47,25,1,151
15,89,25,4,144
13,180,25,1,119
15,24,25,2,109
15,24,25,1,166
10,93,25,1,130
7,25,25,2,183
13,189,24,1,123
10,64,19,2,140
5,128,15,1,199
15,26,25,2,194
7,196,17,4,158
11,82,25,2,137
16,200,25,1,128
14,117,22,1,115
21,27,25,1,193
18,14,25,1,119
20,69,20,2,145
19,87,25,4,114
16,140,25,1,126
16,88,25,1,105
23,214,20,1,112
15,58,25,2,183
13,109,25,1,124
10,58,21,2,177
13,44,25,2,143
18,93,25,1,115
15,150,25,1,200
12,15,25,2,138
10,133,16,1,166
15,153,25,1,110
14,15,16,4,196
