p,r,w,v,T
12,0,25,1,129
11,0,21,4,138
13,2,20,1,114
14,1,25,4,198
25,1,25,2,110
16,1,25,2,114
15,1,25,2,201
11,8,25,2,102
15,1,25,2,137
17,9,25,4,126
13,11,25,4,167
13,5,25,1,179
13,4,23,1,180
16,3,25,1,141
10,13,25,2,114
12,11,25,1,108
13,19,25,2,145
13,31,25,2,168
7,16,25,2,113
15,11,25,1,164
16,18,25,1,109
20,25,25,2,177
12,13,25,2,117
21,8,25,2,193
18,18,24,2,108
18,30,25,1,145
15,16,25,1,185
17,3,25,1,184
8,51,16,2,121
14,14,25,1,166
12,4,19,1,162
16,4,25,1,171
20,19,25,2,193
12,8,25,1,165
21,8,25,2,122
12,8,25,2,194
16,43,25,4,111
23,22,25,1,107
15,23,23,2,190
14,70,19,1,195
10,48,15,1,199
19,5,25,4,156
18,51,25,4,104
14,45,25,1,178
12,27,25,1,154
19,47,25,1,152
25,6,23,2,188
17,57,25,1,198
19,58,25,1,111
16,12,25,1,156
11,30,25,1,115
9,54,25,2,117
28,19,25,1,163
12,26,25,2,124
11,49,25,4,173
14,41,25,2,199
11,59,25,1,139
14,21,25,2,101
6,61,20,4,133
18,14,25,2,148
19,29,25,2,180
15,37,25,1,150
19,75,25,2,184
17,66,25,1,129
15,48,25,1,125
15,117,25,2,141
11,60,25,2,140
16,50,21,2,168
10,16,25,1,142
21,73,25,2,150
13,127,21,1,147
9,43,23,4,177
15,65,25,1,116
15,66,20,1,194
15,27,25,4,100
19,36,25,1,177
18,80,25,1,189
12,28,25,2,133
12,82,25,2,164
18,19,25,1,108
13,96,25,1,115
14,29,25,2,116
7,86,16,2,159
16,100,25,4,169
10,152,25,4,167
19,51,25,4,169
16,104,25,2,106
24,21,25,4,179
17,106,25,2,112
19,67,25,4,134
17,54,25,1,135
6,22,25,1,189
13,22,25,4,170
8,11,25,2,188
11,113,25,1,196
13,172,16,1,136
14,87,25,1,190
23,117,25,1,171
20,47,25,1,150
25,36,25,2,125
13,120,25,1,110
11,183,16,1,123
16,12,24,1,147
