p,r,w,v,T
14,0,25,2,180
18,1,20,1,120
13,2,25,1,141
23,2,25,1,179
13,2,18,2,107
9,5,17,2,153
16,7,25,1,155
25,4,25,2,172
16,4,25,1,162
5,3,19,2,165
10,2,25,2,115
19,5,25,1,150
16,11,25,4,138
22,23,25,2,129
12,3,22,2,111
16,9,19,2,104
19,17,25,4,132
18,18,25,2,161
6,32,22,4,110
14,14,25,1,189
25,15,25,2,163
24,19,25,4,133
9,8,17,2,172
25,14,25,1,113
17,9,25,2,144
12,45,25,2,157
16,16,25,4,174
6,20,25,2,146
16,3,22,1,182
14,7,25,4,111
24,54,25,2,174
9,28,24,1,142
15,12,25,1,183
18,30,23,1,147
7,36,25,1,156
12,42,20,4,178
16,4,25,2,162
13,13,25,4,173
16,40,25,1,190
14,9,20,4,190
6,30,16,1,200
12,10,16,1,174
15,20,25,1,195
25,10,25,1,178
19,21,25,1,195
20,27,25,2,167
12,83,25,4,171
20,28,25,4,112
18,43,25,4,196
13,44,25,1,201
16,30,25,1,120
6,46,20,4,192
18,39,25,2,180
20,6,25,2,137
12,65,19,1,141
13,66,15,2,174
9,34,16,4,200
10,14,16,2,155
21,21,25,1,120
15,71,25,1,112
10,63,25,1,199
20,46,25,1,134
7,65,16,4,162
18,66,25,2,167
18,67,25,4,122
12,68,17,4,106
15,32,25,4,155
14,40,22,1,131
17,51,25,4,143
24,33,25,2,186
17,74,25,2,137
9,34,25,4,147
10,9,25,4,175
15,77,25,1,106
8,45,19,4,144
13,56,25,2,172
14,69,25,4,110
9,37,17,4,198
12,94,17,4,198
12,19,23,1,179
17,144,25,2,157
25,73,25,4,139
14,148,22,1,141
22,62,25,4,138
15,40,25,4,108
11,51,18,2,120
12,52,25,1,176
17,65,25,1,166
9,106,16,1,127
7,161,15,2,193
10,95,22,2,175
18,82,25,2,109
19,111,25,1,107
16,98,25,1,189
21,85,25,2,141
13,71,25,4,142
14,87,23,2,108
19,58,25,2,141
17,12,25,1,143
19,24,25,1,161
9,105,18,4,127
18,49,22,2,172
13,77,20,4,103
13,108,20,1,136
14,13,19,2,115
19,38,25,1,195
11,64,25,2,160
5,97,25,4,150
14,81,25,1,112
8,39,25,2,163
15,116,25,2,172
24,27,25,1,141
10,40,16,2,120
11,41,25,1,195
18,206,20,2,191
6,55,15,2,176
16,14,22,4,142
16,28,25,2,124
16,142,25,1,141
22,29,25,4,158
16,126,24,1,129
12,29,25,1,197
18,147,21,2,120
24,30,25,1,158
10,30,20,2,163
10,75,17,1,103
10,95,22,1,145
16,134,25,2,158
18,154,25,2,164
14,233,25,1,173
16,117,25,1,129
8,32,15,4,188
5,64,18,2,148
20,32,25,2,182
22,48,25,2,174
13,81,22,2,136
13,49,25,1,181
9,82,20,1,174
14,33,22,1,107
13,146,25,1,118
9,84,15,2,138
17,68,25,1,132
18,51,24,2,101
22,258,21,4,106
13,52,19,4,143
12,174,25,1,102
14,35,25,1,168
9,71,19,2,144
13,134,25,2,131
23,36,25,1,114
10,36,25,1,176
15,272,25,4,157
16,18,25,1,187
10,161,19,1,137
9,56,25,1,100
10,140,16,1,104
9,164,19,4,172
17,94,20,1,165
15,38,25,1,100
15,191,25,1,155
13,289,25,2,186
17,121,25,1,120
10,78,25,1,158
8,39,19,1,133
19,148,25,4,167
22,198,25,4,109
14,175,25,1,127
19,100,25,4,140
16,152,25,4,130
10,61,16,2,153
19,20,25,2,180
17,62,25,1,165
16,83,21,1,137
6,62,25,1,126
15,63,25,2,118
16,63,20,1,144
17,318,25,2,143
14,213,23,2,135
14,214,25,1,188
15,65,25,2,173
15,217,25,2,117
9,65,17,1,132
10,328,25,1,147
20,44,25,1,137
15,138,25,4,198
15,195,25,4,160
18,196,25,1,171
15,22,25,1,190
19,90,25,2,140
10,199,25,1,192
14,229,25,4,108
14,46,25,2,192
26,92,25,1,116
13,70,21,1,201
11,204,25,1,182
18,147,24,4,140
11,147,21,1,168
12,24,25,4,187
22,48,25,1,114
19,180,25,2,181
15,210,22,4,192
17,121,19,2,170
16,182,25,4,160
10,122,15,4,143
21,184,25,1,126
12,123,25,1,201
12,99,18,4,144
13,187,25,4,190
19,100,25,2,134
12,50,25,2,162
14,221,17,1,119
14,190,22,2,192
16,76,25,4,107
20,102,25,1,106
17,386,25,2,101
9,26,25,4,101
10,260,16,2,136
13,261,21,2,184
22,105,25,2,109
9,230,17,1,117
22,26,25,1,193
21,399,25,1,145
18,200,25,1,189
13,80,25,1,196
18,168,18,2,136
16,81,25,1,126
19,82,23,1,141
14,239,23,2,105
17,240,17,1,100
18,83,25,2,121
19,111,25,1,172
20,111,25,4,176
15,112,25,4,113
13,28,25,1,150
14,84,25,4,109
12,424,22,2,164
12,114,21,4,134
10,178,15,1,141
16,215,25,4,150
14,29,25,2,103
14,217,25,1,124
7,290,16,2,118
14,58,25,2,153
5,29,25,4,108
11,220,25,1,159
14,258,17,1,190
17,30,25,2,157
18,30,22,1,112
10,89,17,2,186
11,120,25,4,103
6,30,20,2,106
8,91,25,4,107
16,265,25,1,188
18,30,25,4,201
18,267,25,1,118
18,192,25,2,121
19,192,25,1,152
13,124,25,4,100
16,465,25,1,146
14,125,25,1,173
19,63,25,4,143
8,471,23,2,156
17,276,25,1,183
18,95,25,1,174
10,127,23,1,146
12,279,18,4,118
19,200,25,2,155
14,32,25,2,103
7,161,15,1,180
19,324,25,2,114
16,130,25,1,134
24,130,25,1,184
12,491,25,1,161
16,164,25,2,115
12,494,22,1,153
21,289,25,4,183
6,249,21,1,109
12,208,25,4,120
10,67,25,1,156
14,101,25,2,144
16,34,25,4,128
9,253,25,2,161
12,339,25,2,196
16,170,25,1,184
13,137,25,1,195
12,171,25,1,200
12,172,25,4,174
14,518,25,1,120
10,173,21,1,132
15,348,25,4,129
20,305,25,2,196
9,70,25,1,104
16,351,25,1,125
12,141,17,1,164
18,530,25,1,113
14,177,15,1,153
16,534,25,1,190
9,313,19,1,199
14,314,25,2,167
14,360,25,1,143
15,108,25,4,169
13,362,25,2,161
16,227,25,1,115
15,364,25,2,176
19,146,25,1,165
21,183,23,4,120
12,74,15,4,147
25,37,25,4,132
10,556,15,2,102
10,558,25,4,169
10,186,25,2,133
20,374,25,4,107
13,563,25,1,164
6,75,24,1,167
12,567,23,1,119
19,379,25,1,175
16,238,25,1,159
