p,r,w,v,T
20,0,25,2,132
18,0,25,2,132
19,2,25,4,198
19,3,25,2,145
19,3,25,1,196
17,9,25,1,128
12,2,25,2,120
15,2,25,2,113
5,4,25,1,131
16,8,22,1,179
10,5,18,1,170
6,5,25,1,116
19,9,25,1,106
18,8,25,2,121
10,15,25,4,116
14,14,25,1,187
17,4,25,2,143
28,6,25,1,119
17,11,25,1,173
11,12,16,1,201
16,2,25,2,142
13,10,25,4,129
22,20,25,2,187
24,11,25,1,201
11,9,21,1,156
11,6,20,1,150
18,32,25,2,154
17,50,17,1,110
20,17,25,1,125
19,53,21,1,188
13,55,25,2,155
12,11,25,1,192
15,25,25,1,111
14,16,25,2,196
10,37,15,4,114
11,9,15,2,165
13,44,25,2,154
14,23,25,4,127
18,5,25,1,157
17,30,25,1,189
7,15,25,4,157
16,76,23,2,142
16,26,20,4,102
10,46,19,1,167
14,41,25,4,174
16,28,25,2,157
12,42,25,1,167
4,43,22,1,132
6,37,20,4,102
15,45,22,4,186
15,6,20,1,152
18,31,25,2,175
18,40,25,1,113
21,7,25,1,132
14,58,25,2,102
19,42,25,1,126
13,60,22,1,142
9,70,24,2,115
21,14,25,4,129
13,15,23,2,157
20,7,25,1,142
16,30,25,1,145
23,57,25,2,194
12,8,21,1,127
18,118,25,4,137
16,60,21,2,153
18,41,25,2,136
13,51,21,1,157
14,52,25,1,113
18,17,25,2,148
18,17,25,1,137
4,26,15,2,171
9,44,25,1,100
19,79,25,1,110
18,27,25,1,163
17,37,25,2,172
22,140,25,4,164
17,142,25,1,111
16,96,25,1,151
20,61,25,1,120
18,30,25,1,194
12,20,22,1,152
14,10,19,1,180
18,89,25,2,168
21,52,25,2,146
11,10,17,1,194
17,93,24,1,168
6,32,16,1,135
16,108,25,1,113
13,96,25,1,162
19,22,25,4,193
17,45,25,4,183
19,11,25,2,143
13,100,24,4,144
15,173,25,2,133
11,175,17,1,121
12,118,25,1,183
11,48,25,4,158
26,24,25,2,177
18,37,25,2,163
13,77,25,2,147
21,124,25,2,134
17,50,25,1,169
17,127,25,1,142
23,80,25,1,171
13,65,22,2,160
17,52,25,1,115
20,132,25,1,199
16,100,25,4,157
23,134,25,2,139
21,203,25,1,176
13,119,20,1,107
12,14,25,1,194
20,139,25,1,155
12,28,25,1,119
12,14,15,1,141
17,125,25,2,189
7,108,20,1,110
12,109,25,1,128
19,15,25,1,142
15,221,23,1,192
12,223,25,1,129
16,113,25,1,123
18,151,25,2,162
13,46,15,2,118
8,15,24,1,164
13,77,25,1,175
23,31,25,2,125
12,157,25,1,101
13,48,25,1,115
