Deadline ,1 0 0 0,0 1 0 0,0 0 1 0,0 0 0 1,0.5 0.5 0 0,0.5 0 0.5 0,0.5 0 0 0.5,0 0.5 0.5 0 0,0 0.5 0 0.5,0 0 0.5 0.5,0.34 0.33 0.33 0,0.34 0.33 0 0.33,0.34 0 0.33 0.33,0 0.33 0.34 0.33,0.25 0.25 0.25 0.25,
POH,844.7694430347519,868.6756078050694,844.4780242804925,816.7084603744632,862.3191444409422,851.5970455060835,831.3490472228431,870.1548652340493,847.0644606634469,826.1486907192987,868.0832984211362,848.2167255654485,836.0077368819093,846.4253445982872,851.3636463690939,
POH,1029.9667752558414,1022.3886627936986,1012.326331297176,1017.4743605675353,1042.4105821643268,1037.300444310406,1022.7795349223597,1027.0885975754968,1038.2984172347371,1032.7179317691105,1048.1277349862883,1043.2626564962607,1043.3904684123818,1046.9687985405233,1046.7963445943894,
POH,1422.8907308642351,1389.0715349861616,1428.3861134537337,1408.4745269305008,1393.7405769289542,1440.4194080825878,1429.2850503482368,1393.8755638527382,1379.5942029905484,1413.5137795612145,1415.4303463182675,1397.7186761327748,1417.84675155196,1399.5532455063244,1401.0903005925243,
POH,1113.3468222035294,1115.767773896875,1119.722280979739,1097.546435575242,1121.81951202326,1126.0227651612283,1114.6679575981416,1129.1852019063208,1117.2916949833834,1117.3717712109462,1126.5914392563975,1116.7427535458437,1127.067846386741,1130.8431401641942,1121.5523243765197,
POH,1358.7343026628712,1326.8630201215676,1360.3126370462876,1337.658935446248,1328.3068828914475,1356.7931673997027,1349.3911597732567,1330.5216546071372,1331.7884139251635,1349.613241336911,1348.6198246628687,1342.38040124796,1364.9985323249925,1352.3095481799733,1348.0923636307841,
POH,265.5970935742332,262.22386406769357,268.58202666573845,255.46965156584815,264.08187436612513,269.9995667490475,263.17120699806276,266.702636907495,262.58587759059,264.43033512998613,268.8484156279292,265.0369958156969,267.11162153611195,265.24596153178027,268.5317246316349,
POH,891.3749455079761,932.5183177745197,890.7867393557801,858.7358346486579,929.3822069699403,901.1017876869146,875.7248046616189,925.9167305795364,911.3110646439364,876.7170151510193,924.5777791453277,917.1074521742045,883.9209303613816,913.1170298798726,900.9942240429049,
POH,865.2617058675846,867.216906649426,872.2737250958257,830.9786152758913,868.0844759098351,882.5948075049595,852.1717363119102,881.2732674889825,858.8924475863653,853.8943072952428,878.4133179022241,868.7954537735743,870.9706284391646,868.4575303125266,866.2157992980906,
POH,1180.8893930930462,1166.281087084431,1184.4708116939705,1158.137624216567,1179.5851637424853,1198.8652040551347,1167.1551621440753,1181.1358369281372,1158.1639282732829,1174.2802926087375,1192.0100503043154,1185.7506977415153,1187.5864093460614,1184.9002361887592,1187.816512961916,
POH,1142.5403544807048,1159.8562284214033,1144.2596961257595,1103.488122247321,1152.8312564410933,1153.2171686316035,1113.915078606397,1169.6210714373167,1134.3536851738145,1121.3004625183903,1169.5145049791013,1137.6409448162678,1140.7794597364168,1153.7172490591463,1149.9697565997076,
POH,1299.2109789304536,1262.2779533390174,1293.3561479966256,1242.5738092724978,1289.7579938966169,1298.8400456496136,1268.3468395818475,1286.679583565139,1273.462206510665,1281.0970839042516,1295.4779446546297,1278.4451767193775,1282.966937000439,1279.6879777938739,1300.3495254332702,
POH,906.5449826502893,902.712565867078,916.7712502614324,884.1113634848863,911.2458497659572,920.6283572469247,884.4943262914153,909.1425903542088,884.8344548027612,911.0860475292943,928.5660746047639,901.1193413121389,908.1923490165422,911.9053770746991,909.1223982952638,
POH,1083.6865452349625,1115.3354695519006,1106.7830117517935,1056.662716043297,1126.9120828379475,1112.8586876024299,1073.5637822577046,1118.6762408504876,1094.5472144607843,1089.051162337926,1128.240339528908,1098.6689281997888,1092.0635932639102,1103.9411005821964,1092.0796311387176,
POH,1508.259314022166,1435.9228404885653,1491.0217786427713,1452.2442316977592,1464.5380782537295,1521.3305590103191,1492.9780604434684,1478.7736384896211,1444.562968075763,1469.347355576199,1482.8841246817954,1457.3564116564733,1501.2042837072959,1460.5757533657495,1493.7722546828647,
POH,992.905873159004,991.4632206134914,985.900768167618,933.0969698863786,999.9472686893778,1006.1643746862171,956.6277850541334,1001.4447495809272,977.8534146396776,949.7604734222004,1010.4699417123309,974.0143618562888,972.9808320247702,973.9658466990918,994.3860571652251,
POH,803.2042295007913,795.8717904507346,810.9940843279448,775.5480209197237,808.3659331912157,827.6264115816753,789.3619934983893,816.1934404097428,800.08455738651,805.2055135893017,824.7464637074875,806.1576476473745,809.9818251358008,813.3476303196314,811.3991318063279,
POH,840.3611360680964,825.4093130545336,828.9110729874222,798.339098575731,830.1729578433046,840.9987754764234,823.2936480165445,841.3541885847641,823.8146393437853,825.3710329690243,852.4189284762814,831.0469021629418,833.217686421098,836.695612425772,842.5207418051183,
POH,1354.2504016703892,1320.7916286829593,1370.1986497407045,1281.7558308405928,1330.697135495595,1390.2153814064454,1326.634572162293,1349.5342315110342,1315.9814502903505,1334.1097695834167,1364.3994061832827,1326.693841104635,1348.4910615709973,1329.4636525293076,1355.7762679658874,
POH,816.9215600785258,868.9776359710074,829.5083719976124,761.6031228194445,862.6238344005444,838.5918406280272,785.1472424357698,876.7835792117137,826.6224509312506,795.2741326243683,862.9023257572031,827.8420532404405,812.0210363767883,839.3619742404339,838.516317973799,
POH,1387.2010699952903,1346.0333434204895,1384.3996615914718,1305.2398675123366,1368.809917149753,1393.2930936070486,1342.946064303134,1375.8654290460913,1325.7992519004415,1334.814511264643,1380.5825682049099,1352.7963652075396,1353.8760472647496,1359.8813810069553,1380.1239891710493,
POH,1282.7549876379198,1252.7185387408242,1296.4198115488173,1214.2204943864872,1275.6708277759417,1302.635627164267,1236.6651376837985,1291.949997154215,1252.279814909519,1260.8995153918654,1312.037575584996,1280.5161326741472,1274.3226049842144,1278.8870018445673,1296.585885333225,
